term	set_size	overlap	pval	padj
GO_BP::GOBP_STRIATED_MUSCLE_CONTRACTION	118	30	8.78468941721078e-05	0.004682300890767872
GO_BP::GOBP_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY_COUPLED_TO_CYCLIC_NUCLEOTIDE_SECOND_MESSENGER	25	11	9.090446982051396e-05	0.004754996075903335
GO_BP::GOBP_ACTIN_FILAMENT_BASED_PROCESS	591	105	9.102485173819901e-05	0.004754996075903335
Immune::GSE7219_UNSTIM_VS_LPS_AND_ANTI_CD40_STIM_NIK_NFKB2_KO_DC_DN	152	36	9.108231790630896e-05	0.004754996075903335
GO_BP::GOBP_ACTION_POTENTIAL	102	27	9.319569772267296e-05	0.004832228626137506
Immune::GSE39556_UNTREATED_VS_3H_POLYIC_INJ_MOUSE_NK_CELL_UP	141	34	9.681433056001058e-05	0.0049859380238405455
GO_BP::GOBP_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	61	19	9.80853713378689e-05	0.005017494633135816
GO_BP::GOBP_ACTIN_MEDIATED_CELL_CONTRACTION	71	21	9.961332563443304e-05	0.005061685119904324
Reactome::REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	206	45	0.00010510973399878204	0.005305605248600773
GO_BP::GOBP_NEGATIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	159	37	0.00010840571511063434	0.005435976056402993
Immune::GSE7852_TREG_VS_TCONV_FAT_UP	165	38	0.0001112298205705609	0.0055371861768281514
GO_BP::GOBP_TAXIS	243	51	0.00011187702325262862	0.0055371861768281514
GO_BP::GOBP_REGULATION_OF_CELLULAR_COMPONENT_SIZE	293	59	0.0001150923274547467	0.00565957238619406
GO_BP::GOBP_POSITIVE_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT	219	47	0.000117204447581	0.005726489099117832
GO_BP::GOBP_FEAR_RESPONSE	34	13	0.00012189600302802278	0.005917779204328596
GO_BP::GOBP_CELLULAR_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND	843	141	0.00012408019739371267	0.005985691547689101
GO_BP::GOBP_DEVELOPMENTAL_MATURATION	214	46	0.00013245165492192475	0.0063493491434900035
Immune::GSE37301_PRO_BCELL_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_UP	115	29	0.0001334504221829773	0.00635724448674158
GO_BP::GOBP_REGULATION_OF_CELL_ADHESION	490	89	0.00014048846512230927	0.006650950814672305
Reactome::REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES	83	23	0.00014292443300261854	0.0066661608252877634
Immune::GSE3565_CTRL_VS_LPS_INJECTED_DUSP1_KO_SPLENOCYTES_UP	121	30	0.00014321532038081357	0.0066661608252877634
Reactome::REACTOME_HEMOSTASIS	385	73	0.00014343353127095162	0.0066661608252877634
GO_BP::GOBP_RESPONSE_TO_WOUNDING	340	66	0.00014585141746183226	0.006737451538752033
Reactome::REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	405	76	0.00014883129016462704	0.006833687311052936
Immune::HOWARD_PBMC_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_19_39YO_AS03_ADJUVANT_VS_BUFFER_1DY_UP	203	44	0.00015042235133688807	0.006865384202932701
GO_BP::GOBP_POSITIVE_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT	127	31	0.00015208718717607504	0.006900050837238356
Reactome::REACTOME_SIGNALING_BY_MET	68	20	0.0001575408129624965	0.007103402021891821
Immune::GSE14413_UNSTIM_VS_IFNB_STIM_RAW264_CELLS_DN	63	19	0.00015843326472338094	0.007103402021891821
GO_BP::GOBP_URINARY_TRACT_SMOOTH_MUSCLE_CONTRACTION	6	5	0.00016049481815253691	0.007153751485138225
GO_BP::GOBP_TUBE_DEVELOPMENT	710	121	0.0001710777028395833	0.007576348337147602
GO_BP::GOBP_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL_INVOLVED_IN_CONTRACTION	35	13	0.00017196382344877132	0.007576348337147602
Reactome::REACTOME_CARDIAC_CONDUCTION	84	23	0.00017393145676273885	0.007618997491066641
GO_BP::GOBP_TRANSMEMBRANE_TRANSPORT	1026	166	0.0001806105131872172	0.007866361894359825
Immune::GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_6H_ACT_CD4_TCELL_UP	117	29	0.0001843965322315146	0.00798118256895081
Reactome::REACTOME_ECM_PROTEOGLYCANS	49	16	0.00018534102790662468	0.00798118256895081
GO_BP::GOBP_REGULATION_OF_POTASSIUM_ION_TRANSPORT	59	18	0.00019912356046383902	0.008526515605929107
Immune::GSE22886_IL2_VS_IL15_STIM_NKCELL_UP	112	28	0.00020231439109489794	0.00860209238372995
GO_BP::GOBP_NEGATIVE_CHEMOTAXIS	40	14	0.00020314571360159945	0.00860209238372995
GO_BP::GOBP_REFLEX	12	7	0.0002057623009703202	0.008664752806606522
GO_BP::GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL	107	27	0.00022134860303151685	0.009213117226941363
GO_BP::GOBP_NEGATIVE_REGULATION_OF_AMINO_ACID_TRANSPORT	9	6	0.00022241059692432576	0.009213117226941363
GO_BP::GOBP_REGULATION_OF_T_HELPER_1_TYPE_IMMUNE_RESPONSE	9	6	0.00022241059692432576	0.009213117226941363
GO_BP::GOBP_REGULATION_OF_HEART_CONTRACTION	130	31	0.0002385756598091244	0.009781800292605763
GO_BP::GOBP_REGULATION_OF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY	36	13	0.00023870570118402935	0.009781800292605763
GO_BP::GOBP_REGULATION_OF_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORT	50	16	0.00024137389799743105	0.009796544282723372
GO_BP::GOBP_REGULATION_OF_CELL_DIFFERENTIATION	1032	166	0.00024163609618892598	0.009796544282723372
GO_BP::GOBP_ANIMAL_ORGAN_MORPHOGENESIS	627	108	0.0002506599802596747	0.010108626293858414
GO_BP::GOBP_REGULATION_OF_NERVOUS_SYSTEM_PROCESS	86	23	0.00025425930754068536	0.010199812853026863
Immune::GSE3565_DUSP1_VS_WT_SPLENOCYTES_UP	108	27	0.0002606635645496494	0.010401977429305903
GO_BP::GOBP_CALCIUM_ION_HOMEOSTASIS	214	45	0.0002629300324286759	0.01043777451651754
Immune::GSE35543_IN_VIVO_NTREG_VS_CONVERTED_EX_ITREG_DN	125	30	0.00026479806167779894	0.010457465420249655
Reactome::REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	81	22	0.0002706148137687716	0.010632093353327716
Immune::GSE2585_CD80_HIGH_VS_LOW_MTEC_DN	131	31	0.0002758901142707053	0.010783766415237516
GO_BP::GOBP_OUTFLOW_TRACT_SEPTUM_MORPHOGENESIS	16	8	0.00029051392614316986	0.011240087030777873
GO_BP::GOBP_VOCALIZATION_BEHAVIOR	16	8	0.00029051392614316986	0.011240087030777873
GO_BP::GOBP_RESPONSE_TO_MECHANICAL_STIMULUS	143	33	0.00029311774606075887	0.011283552830682345
GO_BP::GOBP_MODULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL	46	15	0.0002973953496582235	0.011390690226607936
GO_BP::GOBP_REGULATION_OF_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORT	203	43	0.0003017558055649738	0.011458013511700942
Immune::GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_2H_ACT_CD4_TCELL_DN	109	27	0.0003060390240274424	0.011458013511700942
Immune::GSE21063_CTRL_VS_ANTI_IGM_STIM_BCELL_8H_UP	109	27	0.0003060390240274424	0.011458013511700942
GO_BP::GOBP_POSITIVE_REGULATION_OF_FILOPODIUM_ASSEMBLY	28	11	0.0003066694773533183	0.011458013511700942
Reactome::REACTOME_COLLAGEN_CHAIN_TRIMERIZATION	28	11	0.0003066694773533183	0.011458013511700942
Immune::GSE37532_VISCERAL_ADIPOSE_TISSUE_VS_LN_DERIVED_TCONV_CD4_TCELL_DN	51	16	0.0003114999929993469	0.011581721690931815
GO_BP::GOBP_REGULATION_OF_NEUROGENESIS	291	57	0.00031536528219969207	0.011668515441388605
Reactome::REACTOME_TRANSPORT_OF_SMALL_MOLECULES	522	92	0.00032180551483906747	0.011849283256538029
GO_BP::GOBP_AXONEMAL_DYNEIN_COMPLEX_ASSEMBLY	24	10	0.0003277617325508752	0.012010576564917167
Immune::GSE21546_UNSTIM_VS_ANTI_CD3_STIM_ELK1_KO_DP_THYMOCYTES_UP	121	29	0.00034077757148654294	0.012427783013734116
Immune::GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_DN	133	31	0.0003664081519891664	0.013284665925612664
Reactome::REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS	99	25	0.00036775971008977593	0.013284665925612664
GO_BP::GOBP_REGULATION_OF_CELL_MORPHOGENESIS	205	43	0.0003762927682510638	0.013528789998158531
GO_BP::GOBP_FEEDING_BEHAVIOR	47	15	0.0003870491260030544	0.01378545999250131
GO_BP::GOBP_REGULATION_OF_FILOPODIUM_ASSEMBLY	47	15	0.0003870491260030544	0.01378545999250131
GO_BP::GOBP_DEVELOPMENTAL_GROWTH	471	84	0.0003922344545211778	0.013882354288575949
Immune::GSE21670_UNTREATED_VS_TGFB_TREATED_CD4_TCELL_UP	105	26	0.00039452120782180057	0.013882354288575949
GO_BP::GOBP_POSTSYNAPSE_ORGANIZATION	163	36	0.0003952336500421124	0.013882354288575949
GO_BP::GOBP_FILOPODIUM_ASSEMBLY	57	17	0.0004002050639880971	0.013992490815216863
GO_BP::GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT	915	148	0.000408184541378919	0.01417217709846069
Immune::GSE37301_LYMPHOID_PRIMED_MPP_VS_CD4_TCELL_UP	128	30	0.00040906310176611803	0.01417217709846069
GO_BP::GOBP_SENSORY_SYSTEM_DEVELOPMENT	256	51	0.00042149855101390683	0.01453693192682352
