term	set_size	overlap	pval	padj
GO_BP::GOBP_NEGATIVE_REGULATION_OF_LOCOMOTION	230	60	1.9932097448193015e-06	0.000164236415198121
Immune::GSE37605_TREG_VS_TCONV_NOD_FOXP3_FUSION_GFP_UP	83	29	2.213819608100829e-06	0.00018057164985266864
Immune::GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_16H_DN	128	39	2.3204964238455027e-06	0.0001866684691610564
Immune::GSE21670_STAT3_KO_VS_WT_CD4_TCELL_TGFB_IL6_TREATED_DN	171	48	2.3348006669060925e-06	0.0001866684691610564
GO_BP::GOBP_RESPONSE_TO_SALT	226	59	2.358003710147214e-06	0.00018667529371998778
GO_BP::GOBP_MONOATOMIC_CATION_TRANSPORT	622	131	2.5774008064644212e-06	0.00020206321856505052
Immune::GSE360_T_GONDII_VS_B_MALAYI_HIGH_DOSE_DC_UP	138	41	2.6426453713419263e-06	0.00020518616705371206
Immune::GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_24H_ACT_CD4_TCELL_DN	106	34	2.8579566405885467e-06	0.0002197904749785954
Immune::GSE36476_CTRL_VS_TSST_ACT_72H_MEMORY_CD4_TCELL_OLD_UP	148	43	2.9127872846572225e-06	0.00021982016190286982
Immune::GSE39916_B_CELL_SPLEEN_VS_PLASMA_CELL_BONE_MARROW_DN	148	43	2.9127872846572225e-06	0.00021982016190286982
GO_BP::GOBP_CELL_MATRIX_ADHESION	153	44	3.026449518201478e-06	0.00022628314684700865
Immune::GSE37301_HEMATOPOIETIC_STEM_CELL_VS_RAG2_KO_NK_CELL_DN	144	42	3.3920365103902602e-06	0.00025129077817799404
Immune::GARCIA_PINERES_PBMC_HPV_16_L1_VLP_AGE_18_25YO_STIMULATED_VS_UNSTIMULATED_0DY_VACCINATION_INDEPENDENT_DN	89	30	3.478984206623994e-06	0.00025287674285880287
Immune::GSE43863_TH1_VS_LY6C_INT_CXCR5POS_MEMORY_CD4_TCELL_DN	116	36	3.5019549198943585e-06	0.00025287674285880287
GO_BP::GOBP_VASCULATURE_DEVELOPMENT	416	94	3.5201289802613805e-06	0.00025287674285880287
Immune::GSE21360_PRIMARY_VS_QUATERNARY_MEMORY_CD8_TCELL_UP	130	39	3.5387085997578608e-06	0.00025287674285880287
GO_BP::GOBP_REGULATION_OF_EPITHELIAL_CELL_MIGRATION	154	44	3.6554250867766423e-06	0.0002561583841157929
GO_BP::GOBP_TAXIS	260	65	3.672089319122344e-06	0.0002561583841157929
GO_BP::GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT	861	171	3.679798459124703e-06	0.0002561583841157929
GO_BP::GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS	1072	206	3.813752123148219e-06	0.00026321408884121255
GO_BP::GOBP_REGULATION_OF_HYDROLASE_ACTIVITY	518	112	3.9302583017638295e-06	0.0002689562354808722
Immune::GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_14H_DN	112	35	3.999930295536538e-06	0.00026983579246719853
Immune::GSE29618_MONOCYTE_VS_PDC_UP	179	49	4.009943665147223e-06	0.00026983579246719853
Immune::GSE360_T_GONDII_VS_B_MALAYI_LOW_DOSE_DC_UP	145	42	4.120255642135055e-06	0.00027496747363835183
Immune::GSE7219_WT_VS_NIK_NFKB2_KO_DC_UP	150	43	4.272721575320138e-06	0.00028280513705500093
Immune::GSE5589_WT_VS_IL10_KO_LPS_STIM_MACROPHAGE_180MIN_DN	90	30	4.507629229957379e-06	0.0002959276913163076
GO_BP::GOBP_REGULATION_OF_BLOOD_CIRCULATION	136	40	4.58752018868926e-06	0.0002963538041893262
Immune::GSE9988_ANTI_TREM1_VS_VEHICLE_TREATED_MONOCYTES_UP	136	40	4.58752018868926e-06	0.0002963538041893262
GO_BP::GOBP_REGULATION_OF_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORT	190	51	4.763936944409013e-06	0.00030530786369922845
Immune::GSE360_HIGH_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_MAC_DN	141	41	4.801918051649964e-06	0.0003053188052525469
Immune::GSE29618_BCELL_VS_PDC_UP	151	43	5.154366151787612e-06	0.00032516802090378877
Immune::GSE10325_CD4_TCELL_VS_BCELL_UP	156	44	5.292146260139027e-06	0.0003312719461288577
Immune::GSE19198_CTRL_VS_IL21_TREATED_TCELL_6H_DN	181	49	5.620999989453263e-06	0.00034915057626796233
Reactome::REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING	61	23	5.673217421315283e-06	0.00034970405097038866
GO_BP::GOBP_SYNAPTIC_SIGNALING	529	113	6.438394201005143e-06	0.0003906561114217404
Immune::GSE26495_NAIVE_VS_PD1LOW_CD8_TCELL_DN	167	46	6.540178992565228e-06	0.0003906561114217404
GO_BP::GOBP_REGULATION_OF_SYNAPSE_STRUCTURE_OR_ACTIVITY	187	50	6.619476146517139e-06	0.0003906561114217404
Immune::GSE16450_CTRL_VS_IFNA_12H_STIM_IMMATURE_NEURON_CELL_LINE_DN	96	31	6.621465631170069e-06	0.0003906561114217404
Immune::GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_12H_ACT_CD4_TCELL_DN	96	31	6.621465631170069e-06	0.0003906561114217404
Immune::GSE29618_PDC_VS_MDC_DN	177	48	6.6278498160716325e-06	0.0003906561114217404
GO_BP::GOBP_POSITIVE_REGULATION_OF_CYTOSOLIC_CALCIUM_ION_CONCENTRATION	70	25	6.997445921468406e-06	0.00040841972968767897
GO_BP::GOBP_REGULATION_OF_MEMBRANE_POTENTIAL	286	69	7.030382963044877e-06	0.00040841972968767897
Immune::GSE43863_DAY6_EFF_VS_DAY150_MEM_TFH_CD4_TCELL_DN	110	34	7.146971020779127e-06	0.0004122270785199389
Immune::GSE7548_DAY7_VS_DAY28_PCC_IMMUNIZATION_CD4_TCELL_UP	153	43	7.4430986052530476e-06	0.0004256909155410224
GO_BP::GOBP_REGULATION_OF_CELL_CELL_ADHESION	308	73	7.5503056331736485e-06	0.0004256909155410224
Immune::GSE2585_CTEC_VS_MTEC_THYMUS_DN	129	38	7.559945171256922e-06	0.0004256909155410224
GO_BP::GOBP_POSITIVE_REGULATION_OF_HYDROLASE_ACTIVITY	346	80	7.591268339059718e-06	0.0004256909155410224
GO_BP::GOBP_REGULATION_OF_METAL_ION_TRANSPORT	234	59	7.673271943568539e-06	0.0004273218685814894
Immune::GSE3565_CTRL_VS_LPS_INJECTED_DUSP1_KO_SPLENOCYTES_UP	134	39	7.919227763938244e-06	0.0004350188040394647
Immune::GSE43863_TFH_VS_LY6C_LOW_CXCR5NEG_EFFECTOR_CD4_TCELL_DN	134	39	7.919227763938244e-06	0.0004350188040394647
GO_BP::GOBP_POSITIVE_REGULATION_OF_CATALYTIC_ACTIVITY	653	134	8.094022999560829e-06	0.0004416164575773898
Immune::GSE29618_BCELL_VS_MDC_UP	144	41	8.503696173801493e-06	0.00046085467519091985
Immune::GSE360_HIGH_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_DC_DN	149	42	8.728854050576918e-06	0.0004699033097227241
Immune::GSE39110_UNTREATED_VS_IL2_TREATED_CD8_TCELL_DAY6_POST_IMMUNIZATION_DN	159	44	9.04980204327739e-06	0.0004839546456918207
Immune::GSE15330_LYMPHOID_MULTIPOTENT_VS_MEGAKARYOCYTE_ERYTHROID_PROGENITOR_IKAROS_KO_UP	135	39	9.611980305472113e-06	0.000510636453728206
GO_BP::GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	667	136	9.727620390067664e-06	0.0005134021872535711
GO_BP::GOBP_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION	241	60	9.842715995037587e-06	0.0005161034523371981
GO_BP::GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT	627	129	1.0472379343740184e-05	0.0005455771819400127
GO_BP::GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	63	23	1.0626124412014099e-05	0.0005470079703420593
Immune::FLETCHER_PBMC_BCG_10W_INFANT_PPD_STIMULATED_VS_UNSTIMULATED_10W_DN	155	43	1.0640590769494896e-05	0.0005470079703420593
GO_BP::GOBP_SKELETAL_SYSTEM_DEVELOPMENT	268	65	1.0703066168922025e-05	0.0005470079703420593
Immune::GSE369_PRE_VS_POST_IL6_INJECTION_SOCS3_KO_LIVER_UP	165	45	1.0853738000699164e-05	0.0005512197129285896
Immune::FLETCHER_PBMC_BCG_10W_INFANT_BCG_STIMULATED_VS_UNSTIMULATED_10W_DN	221	56	1.106297408883403e-05	0.0005583344735458425
Immune::GSE13547_CTRL_VS_ANTI_IGM_STIM_ZFX_KO_BCELL_12H_DN	131	38	1.1211710679503836e-05	0.0005612278336843806
GO_BP::GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	355	81	1.1259307623141753e-05	0.0005612278336843806
Immune::GSE37301_PRO_BCELL_VS_RAG2_KO_NK_CELL_DN	141	40	1.1987255073963347e-05	0.0005938471455353008
GO_BP::GOBP_TUBE_MORPHOGENESIS	479	103	1.2257291998646553e-05	0.000600887254102168
Immune::GSE36476_CTRL_VS_TSST_ACT_40H_MEMORY_CD4_TCELL_OLD_UP	146	41	1.2278191569889502e-05	0.000600887254102168
Immune::GSE25846_IL10_POS_VS_NEG_CD8_TCELL_DAY7_POST_CORONAVIRUS_BRAIN_UP	108	33	1.2697924927253508e-05	0.0006176852035395908
Reactome::REACTOME_SYNDECAN_INTERACTIONS	16	10	1.3010402121873386e-05	0.0006290957912223209
Immune::GSE16450_IMMATURE_VS_MATURE_NEURON_CELL_LINE_6H_IFNA_STIM_UP	113	34	1.3624747511466441e-05	0.0006475647758610369
Immune::GSE41867_DAY6_VS_DAY15_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_UP	113	34	1.3624747511466441e-05	0.0006475647758610369
GO_BP::GOBP_BEHAVIOR	418	92	1.3691045632559571e-05	0.0006475647758610369
Reactome::REACTOME_NEURONAL_SYSTEM	286	68	1.3713136429998428e-05	0.0006475647758610369
GO_BP::GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION	270	65	1.381778157559536e-05	0.0006487127105984451
Immune::GSE25123_IL4_VS_IL4_AND_ROSIGLITAZONE_STIM_PPARG_KO_MACROPHAGE_DAY10_DN	142	40	1.4403489491078778e-05	0.0006723016048581568
GO_BP::GOBP_CELLULAR_COMPONENT_MORPHOGENESIS	550	115	1.4933790685427621e-05	0.000693048044740391
Immune::GSE7852_LN_VS_THYMUS_TREG_UP	172	46	1.5142711400216025e-05	0.000697997036197118
Immune::GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_DN	123	36	1.5213310014946472e-05	0.000697997036197118
Immune::GSE11057_EFF_MEM_VS_CENT_MEM_CD4_TCELL_DN	138	39	1.6888476901464427e-05	0.0007661486010074452
Immune::GSE7219_UNSTIM_VS_LPS_AND_ANTI_CD40_STIM_DC_UP	138	39	1.6888476901464427e-05	0.0007661486010074452
GO_BP::GOBP_STRIATED_MUSCLE_CONTRACTION	105	32	1.812414061551176e-05	0.0008176113713422205
Immune::GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_6H_ACT_CD4_TCELL_UP	110	33	1.940606096449679e-05	0.000868614363811669
GO_BP::GOBP_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	530	111	1.9469869950453512e-05	0.000868614363811669
Immune::GSE19941_UNSTIM_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_UP	134	38	1.979179031442122e-05	0.0008781247625766558
GO_BP::GOBP_MUSCLE_HYPERTROPHY	61	22	2.055003389495821e-05	0.0009004024705212738
GO_BP::GOBP_REGULATION_OF_CELL_SUBSTRATE_ADHESION	144	40	2.0627638092898602e-05	0.0009004024705212738
GO_BP::GOBP_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT	215	54	2.0628415733304722e-05	0.0009004024705212738
Immune::GSE4590_LARGE_PRE_BCELL_VS_VPREB_POS_LARGE_PRE_BCELL_DN	149	41	2.0888628851613652e-05	0.0009068584837461303
GO_BP::GOBP_POSITIVE_REGULATION_OF_LOCOMOTION	361	81	2.146995168748184e-05	0.0009271115501412612
GO_BP::GOBP_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT	350	79	2.165626264720071e-05	0.000930182557851839
Immune::GSE9988_LOW_LPS_VS_CTRL_TREATED_MONOCYTE_UP	125	36	2.2445709461598447e-05	0.0009589899677376056
GO_BP::GOBP_REGULATION_OF_CATALYTIC_ACTIVITY	1022	193	2.3907656426724287e-05	0.0010111267525233839
GO_BP::GOBP_TISSUE_REMODELING	97	30	2.3916434641729576e-05	0.0010111267525233839
Immune::GSE15330_LYMPHOID_MULTIPOTENT_VS_MEGAKARYOCYTE_ERYTHROID_PROGENITOR_IKAROS_KO_DN	140	39	2.4246721020367023e-05	0.0010197514179138736
Immune::GSE29617_CTRL_VS_DAY7_TIV_FLU_VACCINE_PBMC_2008_UP	145	40	2.458796372582087e-05	0.0010287451144352514
Immune::GSE3920_IFNB_VS_IFNG_TREATED_ENDOTHELIAL_CELL_UP	121	35	2.6208775569105e-05	0.0010909065088686744
GO_BP::GOBP_CALCIUM_ION_TRANSMEMBRANE_IMPORT_INTO_CYTOSOL	126	36	2.713360851195886e-05	0.0011236096858157321
Immune::GSE4142_PLASMA_CELL_VS_MEMORY_BCELL_UP	93	29	2.737383953672603e-05	0.0011277742564237893
GO_BP::GOBP_CARDIAC_MUSCLE_CONTRACTION	84	27	2.8053539957147083e-05	0.0011441027027977915
Immune::GSE36891_POLYIC_TLR3_VS_PAM_TLR2_STIM_PERITONEAL_MACROPHAGE_UP	84	27	2.8053539957147083e-05	0.0011441027027977915
Immune::GSE22886_NAIVE_CD4_TCELL_VS_MONOCYTE_UP	146	40	2.9233160765794953e-05	0.0011693478076773359
Immune::GSE36888_UNTREATED_VS_IL2_TREATED_STAT5_AB_KNOCKIN_TCELL_2H_UP	146	40	2.9233160765794953e-05	0.0011693478076773359
GO_BP::GOBP_POSTSYNAPSE_ORGANIZATION	161	43	2.9357808594203842e-05	0.0011693478076773359
Immune::GSE1460_DP_VS_CD4_THYMOCYTE_DN	161	43	2.9357808594203842e-05	0.0011693478076773359
Immune::GSE3565_CTRL_VS_LPS_INJECTED_SPLENOCYTES_DN	151	41	2.939660742520114e-05	0.0011693478076773359
GO_BP::GOBP_RESPONSE_TO_METAL_ION	239	58	3.075104890520889e-05	0.0012172290191645185
