gene,pval_given_therapy,pval_response
RP11-39C10.1,0.620672787184124,0.965092446702038
RP11-613C6.2,0.87818599250637,0.468303090163095
CTD-2152M20.2,0.407861399437357,0.258491593712785
CTD-2141G3.1,0.703417446379565,0.881829478821881
LSM3P4,0.0524134111378131,0.159961875967606
CTD-2083E4.5,0.389550175505093,0.591224652546379
AC131180.1,0.411861291077692,0.558568176230801
RNF138P1,0.12968275864588,0.287593683900224
HNRNPKP1,0.889424540403615,0.848018786146264
RP11-453N18.1,0.394889606201672,0.227520892178896
RNPS1P1,0.0868006610593894,0.0775433992773045
GMDS-AS1,0.785495209904115,0.521544720002787
RP11-843P14.2,0.166943091260163,0.21826755689859
RP11-497H16.4,0.505857726349177,0.1990857386294
RP11-33B1.3,0.54705311411767,0.6051657676202
GLUD1P3,0.308729002201993,0.202684503569536
RP11-402J6.3,0.106227195516235,0.178710079523635
RP11-529H22.1,0.188732924190956,0.158163000000255
RP11-159J3.1,0.0958395465916865,0.0734391323873382
RP11-91K8.2,0.972933646164398,0.864976254803911
RP11-752G15.6,0.836070712886665,0.871422935652738
AC073635.5,0.299488399748829,0.232525416871513
AC008592.3,0.485836701489384,0.681379523765545
AE000661.37,0.447447958935232,0.61137741442834
GAPDHP62,0.41494951548566,0.387663434041566
SLC25A30-AS1,0.58202097477746,0.681315845498744
THAP9-AS1,0.120760950499739,0.0553134619356617
RP11-549J18.1,0.282174826275953,0.197566600224031
RP11-582J16.4,0.659681553097154,0.577608174596815
ANKRD20A17P,0.169615711565176,0.0324863826072779
CTD-2218G20.1,0.288952193452178,0.257374940523357
BMS1P6,0.59095750569203,0.765992834756848
BMS1P2,0.435254666764525,0.288237114594079
RP11-466P24.4,0.0272838243525847,0.0159862704855283
CTD-2035E11.3,0.372546598944028,0.385630859345201
RP11-37B2.1,0.0717005673321569,0.136924552268563
RP11-701P16.2,0.376214705396099,0.464248415248369
RP11-849H4.4,0.313210979136174,0.0876229542037481
ZNF674,0.547386580420348,0.829424923512477
RP1-68D18.2,0.00757165876675538,0.00338491705272562
RP11-54F2.1,0.968562717469544,0.856053531394186
TMED7-TICAM2,0.76364119680913,0.930829811765538
RP11-889L3.4,0.898294275663153,0.637485859456976
GOLGA5P1,0.729937022512062,0.633512390026797
RP11-503N18.5,0.651250679836301,0.714846696232849
ZNF345,0.486932575145314,0.459408823536507
AC004069.2,0.498276294070068,0.570987180626799
CTC-436P18.1,0.455344963016606,0.150059256577478
RP11-10L12.2,0.618829662961135,0.460665236210016
RP11-81H14.2,0.114742032097075,0.057196605457788
CTD-2003D5.1,0.994260150589452,0.971016417326709
