term	set_size	overlap	pval	padj
GO_BP::GOBP_CELL_CELL_ADHESION	292	139	4.3447398947853317e-16	2.1440013516090676e-13
GO_BP::GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	597	241	7.856770521369904e-16	3.583603539668398e-13
Immune::GSE9988_LOW_LPS_VS_CTRL_TREATED_MONOCYTE_UP	93	61	8.31300972851679e-16	3.583603539668398e-13
GO_BP::GOBP_LYMPHOCYTE_ACTIVATION	427	185	8.543577398184284e-16	3.583603539668398e-13
Immune::GSE13484_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_DN	133	78	9.802954049074759e-16	3.916046738937531e-13
GO_BP::GOBP_CYTOPLASMIC_TRANSLATION	138	80	1.0525556780590427e-15	3.9857789222335684e-13
Immune::GSE42088_UNINF_VS_LEISHMANIA_INF_DC_4H_DN	148	84	1.1326198712726637e-15	3.9857789222335684e-13
Immune::GSE42088_UNINF_VS_LEISHMANIA_INF_DC_2H_DN	153	86	1.1402872110335635e-15	3.9857789222335684e-13
Immune::GSE36476_CTRL_VS_TSST_ACT_40H_MEMORY_CD4_TCELL_YOUNG_UP	156	87	1.4789986862586613e-15	4.962927991609563e-13
GO_BP::GOBP_T_CELL_ACTIVATION	302	141	2.0144382231522266e-15	6.499662405393858e-13
Reactome::REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	108	67	2.093253050169092e-15	6.503814754766116e-13
GO_BP::GOBP_ADAPTIVE_IMMUNE_RESPONSE	280	133	2.4122398168288308e-15	7.225000195700041e-13
Immune::GSE26156_DOUBLE_POSITIVE_VS_CD4_SINGLE_POSITIVE_THYMOCYTE_UP	152	85	2.538251597777227e-15	7.225000195700041e-13
Immune::GSE9988_ANTI_TREM1_AND_LPS_VS_CTRL_TREATED_MONOCYTES_UP	90	59	2.5837406826916348e-15	7.225000195700041e-13
GO_BP::GOBP_CELL_ADHESION	442	188	4.535099745554295e-15	1.227256508563064e-12
Immune::GSE22886_CTRL_VS_LPS_24H_DC_DN	149	83	7.365341062033449e-15	1.9308701927937062e-12
GO_BP::GOBP_HEMOPOIESIS	456	192	7.624163320476798e-15	1.9381547301660564e-12
Immune::GSE3565_CTRL_VS_LPS_INJECTED_DUSP1_KO_SPLENOCYTES_UP	107	65	2.3800683034552875e-14	5.872468528731296e-12
Immune::GSE26495_NAIVE_VS_PD1HIGH_CD8_TCELL_DN	124	72	2.603311662941142e-14	6.2397661544037835e-12
Immune::GSE24574_BCL6_HIGH_VS_LOW_TFH_CD4_TCELL_UP	137	77	3.6963545665849154e-14	8.596768457745411e-12
Reactome::REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	441	185	3.791637059680298e-14	8.596768457745411e-12
Reactome::REACTOME_NERVOUS_SYSTEM_DEVELOPMENT	283	131	4.7741515608030464e-14	1.0539567748309673e-11
GO_BP::GOBP_RESPONSE_TO_CYTOKINE	406	173	5.0987009237251136e-14	1.096743642285384e-11
Reactome::REACTOME_SIGNALING_BY_ROBO_RECEPTORS	171	90	5.27882301484875e-14	1.1071011567891541e-11
Immune::GSE9650_NAIVE_VS_MEMORY_CD8_TCELL_DN	128	73	6.202936570543891e-14	1.2691813387876269e-11
Immune::GSE9988_LPS_VS_VEHICLE_TREATED_MONOCYTE_UP	83	54	6.414523207888017e-14	1.2812246474041088e-11
Immune::GSE22886_NAIVE_TCELL_VS_DC_UP	190	97	6.607100479845378e-14	1.2889992075679739e-11
Immune::GSE28726_ACT_CD4_TCELL_VS_ACT_VA24NEG_NKTCELL_DN	169	89	6.988989102560965e-14	1.3325143086678167e-11
Immune::GAUCHER_PBMC_YF_VAX_STAMARIL_UNKNOWN_AGE_7DY_UP	167	88	9.251521067833335e-14	1.7246891164011967e-11
Immune::GSE10325_CD4_TCELL_VS_MYELOID_UP	184	94	1.5458556049759232e-13	2.819170145683265e-11
Immune::GSE36476_CTRL_VS_TSST_ACT_16H_MEMORY_CD4_TCELL_YOUNG_UP	171	89	1.7224422025422463e-13	3.074376093005724e-11
Immune::GSE10325_CD4_TCELL_VS_BCELL_UP	169	88	2.282404718184266e-13	3.98897774600996e-11
Immune::GSE9988_LOW_LPS_VS_VEHICLE_TREATED_MONOCYTE_UP	85	54	2.772222637449282e-13	4.746158307257556e-11
Immune::GSE9988_LPS_VS_CTRL_TREATED_MONOCYTE_UP	92	57	2.8896288957184743e-13	4.848219361236456e-11
Immune::GSE7219_UNSTIM_VS_LPS_AND_ANTI_CD40_STIM_NIK_NFKB2_KO_DC_DN	121	69	3.0779010613454126e-13	5.0549155499773317e-11
GO_BP::GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT	477	194	3.133336614600325e-13	5.0549155499773317e-11
Immune::GSE2706_UNSTIM_VS_8H_R848_DC_DN	97	59	3.517588460226291e-13	5.5543630990600984e-11
Immune::HARALAMBIEVA_PBMC_M_M_R_II_AGE_11_22YO_VACCINATED_VS_UNVACCINATED_7YR_UP	272	125	3.575343990335503e-13	5.5543630990600984e-11
Reactome::REACTOME_DEVELOPMENTAL_BIOLOGY	441	182	3.8006087207519194e-13	5.796964828797791e-11
Immune::GAUCHER_PBMC_YF_VAX_STAMARIL_UNKNOWN_AGE_7DY_DN	134	74	3.9776642099517577e-13	5.958683045943802e-11
Immune::GSE29618_BCELL_VS_PDC_UP	129	72	4.0665970225706775e-13	5.985032003920248e-11
GO_BP::GOBP_ALPHA_BETA_T_CELL_ACTIVATION	107	63	4.574328913307156e-13	6.616214698919608e-11
GO_BP::GOBP_REGULATION_OF_IMMUNE_SYSTEM_PROCESS	694	262	5.058782585194233e-13	7.192902899524478e-11
GO_BP::GOBP_REGULATION_OF_CELL_ACTIVATION	302	135	5.246077893814652e-13	7.334891241868519e-11
Immune::HOWARD_DENDRITIC_CELL_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_18_49YO_1DY_UP	77	50	6.159453890111541e-13	8.470763718712412e-11
Immune::KAECH_NAIVE_VS_MEMORY_CD8_TCELL_DN	130	72	6.837878916548343e-13	9.252091327568395e-11
Immune::GSE11057_NAIVE_VS_EFF_MEMORY_CD4_TCELL_DN	143	77	7.747265677040572e-13	1.0316160597570375e-10
Reactome::REACTOME_SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY	36	30	8.033227348595288e-13	1.0529803785525918e-10
Immune::GSE14769_UNSTIM_VS_80MIN_LPS_BMDM_DN	108	63	8.235945842162182e-13	1.0629438410753623e-10
GO_BP::GOBP_LEUKOCYTE_DIFFERENTIATION	304	135	9.60454141415273e-13	1.220795423080716e-10
Immune::GSE11057_NAIVE_VS_MEMORY_CD4_TCELL_DN	162	84	1.0948867379927514e-12	1.3708962455255508e-10
Immune::GSE21670_STAT3_KO_VS_WT_CD4_TCELL_DN	134	73	1.4295272003605977e-12	1.7635740711507432e-10
Immune::NAKAYA_PBMC_FLUARIX_FLUVIRIN_AGE_18_50YO_CORRELATED_WITH_HAI_28DY_RESPONSE_AT_7DY_NEGATIVE	386	162	1.604694745935909e-12	1.9509832208197593e-10
Immune::GSE9650_EFFECTOR_VS_MEMORY_CD8_TCELL_DN	150	79	1.8147282376978006e-12	2.1748221694352643e-10
Immune::HOWARD_MONOCYTE_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_18_49YO_1DY_UP	98	58	2.8884546670557155e-12	3.4128515777366754e-10
Immune::GSE36891_POLYIC_TLR3_VS_PAM_TLR2_STIM_PERITONEAL_MACROPHAGE_UP	57	40	2.977046168770382e-12	3.4686722652520463e-10
Immune::GSE13522_WT_VS_IFNAR_KO_SKING_T_CRUZI_Y_STRAIN_INF_UP	91	55	3.2333155250379163e-12	3.708828308622611e-10
GO_BP::GOBP_REGULATION_OF_CELL_DIFFERENTIATION	550	214	3.271585347932688e-12	3.708828308622611e-10
Immune::GSE42021_TREG_PLN_VS_CD24LO_TREG_THYMUS_DN	108	62	3.3338895337856717e-12	3.7290665731904e-10
Reactome::REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	149	78	3.777722129344474e-12	4.169909334614578e-10
GO_BP::GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM	532	208	3.985341103273851e-12	4.341951495501862e-10
Immune::GSE37605_TREG_VS_TCONV_NOD_FOXP3_FUSION_GFP_UP	47	35	4.275949093831869e-12	4.587547769821199e-10
Immune::GSE3920_IFNA_VS_IFNG_TREATED_ENDOTHELIAL_CELL_UP	106	61	4.320136772152518e-12	4.587547769821199e-10
Immune::GSE7852_THYMUS_VS_FAT_TCONV_DN	111	63	4.459539215414916e-12	4.676384309764466e-10
Immune::GSE13485_DAY3_VS_DAY7_YF17D_VACCINE_PBMC_DN	94	56	4.726621586375595e-12	4.895262776309243e-10
Reactome::REACTOME_INFLUENZA_INFECTION	147	77	4.997444224195468e-12	5.112629219118997e-10
Immune::ERWIN_COHEN_BLOOD_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_2DY_UP	80	50	5.267257297694533e-12	5.261747387652012e-10
GO_BP::GOBP_MONONUCLEAR_CELL_DIFFERENTIATION	246	113	5.2686468060885565e-12	5.261747387652012e-10
Immune::GSE27434_WT_VS_DNMT1_KO_TREG_DN	124	68	5.6011705752820056e-12	5.528025877181265e-10
Immune::GARCIA_PINERES_PBMC_HPV_16_L1_VLP_AGE_18_25YO_STIMULATED_VS_UNSTIMULATED_0DY_VACCINATION_INDEPENDENT_UP	90	54	7.685321168287036e-12	7.49676270706511e-10
Reactome::REACTOME_CELLULAR_RESPONSE_TO_STARVATION	135	72	8.01373277846451e-12	7.727264859602159e-10
Immune::GSE13485_CTRL_VS_DAY7_YF17D_VACCINE_PBMC_DN	120	66	9.647446071984992e-12	9.196866488395692e-10
Immune::GSE2706_UNSTIM_VS_2H_LPS_AND_R848_DC_DN	105	60	9.790958797437417e-12	9.228803747382304e-10
Immune::GSE32986_CURDLAN_HIGHDOSE_VS_GMCSF_AND_CURDLAN_HIGHDOSE_STIM_DC_DN	110	62	9.972438211850854e-12	9.295420462135202e-10
Immune::GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_BCELL_UP	170	85	1.0334353823990362e-11	9.423358068419036e-10
Immune::GSE28726_ACT_CD4_TCELL_VS_ACT_NKTCELL_DN	170	85	1.0334353823990362e-11	9.423358068419036e-10
GO_BP::GOBP_POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS	502	197	1.061924085833067e-11	9.579011995756559e-10
Immune::GSE36476_CTRL_VS_TSST_ACT_40H_MEMORY_CD4_TCELL_OLD_UP	111	62	1.6947943064484098e-11	1.4965925722942853e-09
Immune::GSE3982_MEMORY_CD4_TCELL_VS_BCELL_UP	111	62	1.6947943064484098e-11	1.4965925722942853e-09
GO_BP::GOBP_CYTOKINE_PRODUCTION	344	145	1.7441600480057415e-11	1.5241415252833505e-09
Immune::GSE19401_NAIVE_VS_IMMUNIZED_MOUSE_PLN_FOLLICULAR_DC_UP	137	72	2.0198891659534333e-11	1.7468917745549848e-09
Immune::HOWARD_PBMC_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_19_39YO_AS03_ADJUVANT_VS_BUFFER_1DY_UP	114	63	2.17421170064957e-11	1.8611695874233919e-09
GO_BP::GOBP_REGULATION_OF_LYMPHOCYTE_ACTIVATION	265	118	2.2311009301133928e-11	1.8905763336082072e-09
Reactome::REACTOME_INTERFERON_SIGNALING	181	88	3.101100894460535e-11	2.591271249442781e-09
Immune::HOEK_NK_CELL_2011_2012_TIV_3D_VS_0DY_ADULT_3D_DN	49	35	3.11978061978449e-11	2.591271249442781e-09
Immune::GSE26343_UNSTIM_VS_LPS_STIM_NFAT5_KO_MACROPHAGE_DN	115	63	3.6073085224293876e-11	2.9668344308490325e-09
Immune::GSE42021_CD24HI_VS_CD24LOW_TREG_THYMUS_DN	105	59	3.772777525475882e-11	3.0727990933220556e-09
GO_BP::GOBP_POSITIVE_REGULATION_OF_GENE_EXPRESSION	518	200	4.12329493010413e-11	3.316129017194165e-09
Immune::GSE1460_INTRATHYMIC_T_PROGENITOR_VS_CD4_THYMOCYTE_DN	136	71	4.190126067738485e-11	3.316129017194165e-09
Immune::GSE16450_CTRL_VS_IFNA_6H_STIM_IMMATURE_NEURON_CELL_LINE_DN	136	71	4.190126067738485e-11	3.316129017194165e-09
Immune::KAECH_DAY8_EFF_VS_MEMORY_CD8_TCELL_DN	144	74	4.3442773843519774e-11	3.380909324454224e-09
Immune::GSE11057_NAIVE_VS_CENT_MEMORY_CD4_TCELL_DN	152	77	4.35258322852612e-11	3.380909324454224e-09
GO_BP::GOBP_INFLAMMATORY_RESPONSE	309	132	4.921985282307365e-11	3.788122434245549e-09
Immune::GSE19923_WT_VS_HEB_AND_E2A_KO_DP_THYMOCYTE_DN	134	70	5.540778402074297e-11	4.225599092272843e-09
Immune::GSE14000_UNSTIM_VS_4H_LPS_DC_DN	111	61	6.211100932051443e-11	4.694137452160321e-09
Immune::GSE7509_UNSTIM_VS_IFNA_STIM_IMMATURE_DC_DN	104	58	8.346326612531912e-11	6.251547674333054e-09
GO_BP::GOBP_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND	674	247	9.453516168361353e-11	6.962935470948179e-09
Reactome::REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING	46	33	9.566657591389397e-11	6.962935470948179e-09
Immune::ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_3DY_UP	75	46	9.592048169134679e-11	6.962935470948179e-09
Immune::GSE42021_TREG_PLN_VS_CD24HI_TREG_THYMUS_UP	117	63	9.628090530814028e-11	6.962935470948179e-09
GO_BP::GOBP_IMMUNE_EFFECTOR_PROCESS	279	121	1.0143666580489954e-10	7.273095636216258e-09
Immune::GSE2706_UNSTIM_VS_2H_R848_DC_DN	92	53	1.0527810655265051e-10	7.421664166976346e-09
Immune::FRANCO_BLOOD_SANOFI_PASTEUR_SA_INACTIVATED_INFLUENZA_VACCINE_CORRELATED_WITH_ANTIBODY_RESPONSE_AGE_18_40YO_1DY_POSITIVE	92	53	1.0527810655265051e-10	7.421664166976346e-09
Immune::GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_48H_ACT_CD4_TCELL_DN	80	48	1.1305686759491602e-10	7.90361718544792e-09
Immune::ERWIN_COHEN_BLOOD_VACCINE_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_7DY_UP	57	38	1.1749496978160554e-10	8.14599422725528e-09
Immune::GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_24H_ACT_CD4_TCELL_DN	73	45	1.205480027508628e-10	8.289157336696622e-09
Immune::GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY5_DN	144	73	1.341205183316891e-10	9.091241085748073e-09
GO_BP::GOBP_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION	448	176	1.3438000889650267e-10	9.091241085748073e-09
Immune::KAECH_NAIVE_VS_DAY15_EFF_CD8_TCELL_DN	123	65	1.417912160905931e-10	9.440369141142742e-09
Immune::GAUCHER_PBMC_YF_VAX_STAMARIL_UNKNOWN_AGE_10DY_UP	123	65	1.417912160905931e-10	9.440369141142742e-09
Immune::GSE22886_DAY0_VS_DAY1_MONOCYTE_IN_CULTURE_UP	131	68	1.5107148134479354e-10	9.979044543318685e-09
Immune::GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_8H_DN	113	61	1.6684442225202254e-10	1.0934827017751697e-08
Reactome::REACTOME_HEMOSTASIS	240	107	1.8049541581523883e-10	1.1737798785070066e-08
Immune::GSE7219_WT_VS_NIK_NFKB2_KO_DC_UP	121	64	1.8718392523893286e-10	1.2079122683303137e-08
GO_BP::GOBP_LEUKOCYTE_CELL_CELL_ADHESION	203	94	1.979660550494712e-10	1.2677383479465756e-08
GO_BP::GOBP_INNATE_IMMUNE_RESPONSE	428	169	2.0243983961166973e-10	1.2865665261381042e-08
GO_BP::GOBP_REGULATION_OF_CELL_CELL_ADHESION	212	97	2.3064180549052091e-10	1.4547775235037444e-08
GO_BP::GOBP_REGULATION_OF_CELL_ADHESION	312	131	2.3821115870842716e-10	1.4913085152276086e-08
GO_BP::GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	367	149	2.527273056505025e-10	1.5704661978533818e-08
Immune::GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_6H_DN	135	69	2.7102598939760295e-10	1.6717919301885965e-08
Immune::GOLDRATH_NAIVE_VS_MEMORY_CD8_TCELL_DN	109	59	2.888100132918704e-10	1.768487008398176e-08
Immune::GSE1460_DP_VS_CD4_THYMOCYTE_DN	122	64	2.953893118928287e-10	1.7956673459919854e-08
Immune::GSE9988_ANTI_TREM1_VS_CTRL_TREATED_MONOCYTES_UP	94	53	3.160380962703304e-10	1.907369488929354e-08
Immune::QUEREC_PBMC_YF_17D_VACCINE_AGE_18_45YO_3DY_UP	35	27	3.2604430592410627e-10	1.939848001700232e-08
Immune::QUEREC_PBMC_YF_17D_VACCINE_AGE_18_45YO_7DY_UP	35	27	3.2604430592410627e-10	1.939848001700232e-08
Immune::GSE22886_NAIVE_CD8_TCELL_VS_MONOCYTE_UP	160	78	3.542832648771445e-10	2.078379237100955e-08
Immune::GSE37533_PPARG1_FOXP3_VS_FOXP3_TRANSDUCED_CD4_TCELL_DN	160	78	3.542832648771445e-10	2.078379237100955e-08
Immune::GSE21546_ELK1_KO_VS_SAP1A_KO_AND_ELK1_KO_DP_THYMOCYTES_UP	133	68	3.5880647119211876e-10	2.090296865854642e-08
Immune::GSE22886_NAIVE_BCELL_VS_BLOOD_PLASMA_CELL_UP	102	56	3.991049731492505e-10	2.3090287032752156e-08
Immune::GAUCHER_PBMC_YF_VAX_STAMARIL_UNKNOWN_AGE_3DY_UP	131	67	4.749777880557225e-10	2.7291703178078468e-08
Immune::GSE15330_LYMPHOID_MULTIPOTENT_VS_MEGAKARYOCYTE_ERYTHROID_PROGENITOR_IKAROS_KO_DN	118	62	5.154607521659885e-10	2.941632823075155e-08
GO_BP::GOBP_CELL_MOTILITY	528	199	5.392790465543193e-10	3.048668989302797e-08
Immune::GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_6H_DN	126	65	5.414848961808521e-10	3.048668989302797e-08
Immune::GSE7852_LN_VS_FAT_TCONV_DN	113	60	5.675505143164783e-10	3.174120843067291e-08
Immune::GSE22886_NAIVE_TCELL_VS_MONOCYTE_UP	178	84	5.821791885216946e-10	3.234371663912912e-08
Immune::SCHERER_PBMC_APSV_WETVAX_AGE_18_32YO_5_TO_7DY_DN	137	69	6.237763487350283e-10	3.442670914169837e-08
Immune::GSE34205_HEALTHY_VS_RSV_INF_INFANT_PBMC_UP	129	66	6.287109682757363e-10	3.447226348277877e-08
GO_BP::GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH	722	258	6.575339808391479e-10	3.581852315103644e-08
Immune::GSE39110_UNTREATED_VS_IL2_TREATED_CD8_TCELL_DAY6_POST_IMMUNIZATION_UP	98	54	6.860294738388984e-10	3.7129685522803344e-08
Immune::GSE13547_WT_VS_ZFX_KO_BCELL_UP	88	50	6.968829088916213e-10	3.720892840436017e-08
Immune::GSE9988_ANTI_TREM1_VS_ANTI_TREM1_AND_LPS_MONOCYTE_DN	88	50	6.968829088916213e-10	3.720892840436017e-08
Immune::GSE360_CTRL_VS_M_TUBERCULOSIS_DC_DN	93	52	7.007999389544532e-10	3.720892840436017e-08
Immune::PATEL_SKIN_OF_BODY_ZOSTAVAX_AGE_70_93YO_VZV_CHALLENGE_6HR_UP	162	78	7.458346357037518e-10	3.9006072354362337e-08
Immune::GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_10H_DN	111	59	7.485966919838284e-10	3.9006072354362337e-08
Immune::GSE360_HIGH_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_DC_DN	111	59	7.485966919838284e-10	3.9006072354362337e-08
GO_BP::GOBP_REGULATION_OF_CELL_DEVELOPMENT	323	133	8.186979973185252e-10	4.239541666361177e-08
Immune::NAKAYA_PBMC_FLUARIX_FLUVIRIN_AGE_18_50YO_7DY_DN	196	90	8.306755921109499e-10	4.2751764062691776e-08
Immune::GSE2124_CTRL_VS_LYMPHOTOXIN_BETA_TREATED_MLN_UP	69	42	8.851935016856969e-10	4.527980661976409e-08
Immune::GSE14415_FOXP3_KO_NATURAL_TREG_VS_TCONV_UP	99	54	1.1326467978232867e-09	5.739006364789483e-08
GO_BP::GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION	220	98	1.1356240988855097e-09	5.739006364789483e-08
Immune::GSE21360_SECONDARY_VS_QUATERNARY_MEMORY_CD8_TCELL_UP	84	48	1.1758209892753e-09	5.906564238940415e-08
Immune::NAKAYA_PBMC_FLUMIST_AGE_18_50YO_3DY_DN	536	200	1.3005913615215878e-09	6.397017225948437e-08
Immune::GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_4H_DN	107	57	1.3016574386496864e-09	6.397017225948437e-08
Immune::GSE41087_WT_VS_FOXP3_MUT_ANTI_CD3_CD28_STIM_CD4_TCELL_UP	107	57	1.3016574386496864e-09	6.397017225948437e-08
Immune::GAUCHER_PBMC_YF_VAX_STAMARIL_UNKNOWN_AGE_3DY_DN	72	43	1.3039574986734804e-09	6.397017225948437e-08
GO_BP::GOBP_RESPONSE_TO_BACTERIUM	244	106	1.3551554771663938e-09	6.573463064783938e-08
Reactome::REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	58	37	1.3634313663993386e-09	6.573463064783938e-08
Reactome::REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	58	37	1.3634313663993386e-09	6.573463064783938e-08
Immune::GSE37301_HEMATOPOIETIC_STEM_CELL_VS_RAG2_KO_NK_CELL_DN	115	60	1.4103916835501396e-09	6.761014761886927e-08
GO_BP::GOBP_T_CELL_DIFFERENTIATION	175	82	1.4344304689951995e-09	6.837180229773141e-08
Immune::GSE25123_WT_VS_PPARG_KO_MACROPHAGE_IL4_STIM_DN	92	51	1.5409217770229463e-09	7.303272761268642e-08
Immune::GSE17974_0H_VS_24H_IN_VITRO_ACT_CD4_TCELL_UP	118	61	1.6576139224247744e-09	7.812204042259232e-08
GO_BP::GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION	75	44	1.8548131219308134e-09	8.644459599931996e-08
Immune::GSE9988_ANTI_TREM1_AND_LPS_VS_VEHICLE_TREATED_MONOCYTES_UP	75	44	1.8548131219308134e-09	8.644459599931996e-08
GO_BP::GOBP_REGULATION_OF_T_CELL_ACTIVATION	196	89	2.074713749922546e-09	9.615897043149301e-08
Immune::OSMAN_BLOOD_CHAD63_KH_AGE_18_50YO_HIGH_DOSE_SUBJECTS_24HR_UP	997	337	2.1038635533297412e-09	9.697423818067693e-08
GO_BP::GOBP_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS	440	169	2.4181236493470723e-09	1.1085048794739121e-07
Immune::GSE22886_NAIVE_BCELL_VS_NEUTROPHIL_UP	146	71	2.5250054215044476e-09	1.1512103522283049e-07
GO_BP::GOBP_MULTICELLULAR_ORGANISMAL_LEVEL_HOMEOSTASIS	325	132	2.72675927075613e-09	1.231248659124911e-07
Immune::GSE27241_CTRL_VS_DIGOXIN_TREATED_CD4_TCELL_IN_TH17_POLARIZING_CONDITIONS_UP	106	56	2.729911200348473e-09	1.231248659124911e-07
Immune::KAZMIN_PBMC_P_FALCIPARUM_RTSS_AS01_AGE_UNKNOWN_CORRELATED_WITH_PROTECTION_56DY_NEGATIVE	31	24	2.868485491674931e-09	1.2868302026556683e-07
Immune::ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_AD5_NAB_TITERS_GTE_200_VS_LTE_200_1DY_UP	114	59	2.8987401514930803e-09	1.2934856984508218e-07
Immune::GSE21546_WT_VS_SAP1A_KO_DP_THYMOCYTES_UP	141	69	3.0300049336081117e-09	1.3378269151599184e-07
Immune::GSE42021_TREG_PLN_VS_TREG_PRECURSORS_THYMUS_DN	141	69	3.0300049336081117e-09	1.3378269151599184e-07
GO_BP::GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION	71	42	3.0562559384411464e-09	1.3423524119153287e-07
GO_BP::GOBP_LEUKOCYTE_PROLIFERATION	155	74	3.2794133893190115e-09	1.4328645272394368e-07
Immune::GSE22140_GERMFREE_VS_SPF_MOUSE_CD4_TCELL_UP	120	61	3.8942976516913905e-09	1.6891536298609055e-07
Immune::GSE2706_R848_VS_R848_AND_LPS_2H_STIM_DC_DN	69	41	3.912892830543108e-09	1.6891536298609055e-07
Immune::GSE7218_UNSTIM_VS_ANTIGEN_STIM_THROUGH_IGG_BCELL_DN	99	53	3.926391200654149e-09	1.6891536298609055e-07
GO_BP::GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS	290	120	4.006746874966438e-09	1.7149285476578289e-07
Immune::GSE42021_CD24INT_VS_CD24LOW_TREG_THYMUS_DN	102	54	4.753019907342972e-09	2.02401441638072e-07
Immune::GSE37533_PPARG1_FOXP3_VS_PPARG2_FOXP3_TRANSDUCED_CD4_TCELL_PIOGLITAZONE_TREATED_DN	134	66	4.7859385738792866e-09	2.027739328094613e-07
