term	set_size	overlap	pval	padj
Immune::GSE13485_CTRL_VS_DAY7_YF17D_VACCINE_PBMC_DN	122	61	1.9632317337540683e-12	1.6728370398029455e-10
Immune::GSE24574_BCL6_HIGH_TFH_VS_TFH_CD4_TCELL_DN	174	78	2.429925477589787e-12	2.0491536501736555e-10
Immune::GSE41978_ID2_KO_VS_ID2_KO_AND_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_DN	162	74	2.8680148743196807e-12	2.393914456319897e-10
Immune::GSE14699_NAIVE_VS_DELETIONAL_TOLERANCE_CD8_TCELL_UP	89	49	3.079227923372773e-12	2.5442509508272e-10
GO_BP::GOBP_T_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	63	39	3.490978178388967e-12	2.855620149922175e-10
GO_BP::GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT	354	131	4.52258300315317e-12	3.6439091193031973e-10
GO_BP::GOBP_REGULATION_OF_LYMPHOCYTE_DIFFERENTIATION	118	59	4.5437497575663335e-12	3.6439091193031973e-10
GO_BP::GOBP_POSITIVE_REGULATION_OF_LYMPHOCYTE_ACTIVATION	189	82	5.52111539873095e-12	4.384730481710599e-10
Reactome::REACTOME_SARS_COV_1_HOST_INTERACTIONS	85	47	6.971682057556899e-12	5.483496079886099e-10
Immune::GSE6269_FLU_VS_E_COLI_INF_PBMC_DN	45	31	9.61380912223789e-12	7.489615106657708e-10
Immune::GSE41978_KLRG1_HIGH_VS_LOW_EFFECTOR_CD8_TCELL_DN	147	68	1.0881913733905284e-11	8.397552296542002e-10
Immune::GSE16450_IMMATURE_VS_MATURE_NEURON_CELL_LINE_UP	144	67	1.1142752028419319e-11	8.518477718922432e-10
GO_BP::GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION	78	44	1.3174532989325444e-11	9.978488875248345e-10
Immune::GSE22886_IGM_MEMORY_BCELL_VS_BLOOD_PLASMA_CELL_UP	89	48	1.3993927008972874e-11	1.050186448930258e-09
GO_BP::GOBP_LEUKOCYTE_MIGRATION	151	69	1.5494586495344577e-11	1.152233795744715e-09
Immune::ERWIN_COHEN_BLOOD_VACCINE_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_7DY_UP	58	36	2.1405877304552484e-11	1.5774781653264803e-09
GO_BP::GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM	576	189	2.5404755186548873e-11	1.8554544413033016e-09
