,Spectra_0,Spectra_1,Spectra_2,Spectra_3,Spectra_4,Spectra_5,Spectra_6,Spectra_7,Spectra_8,Spectra_9,Spectra_10,Spectra_11,Spectra_12,Spectra_13,Spectra_14,Spectra_15,Spectra_16,Spectra_17,Spectra_18,Spectra_19,Spectra_20,Spectra_21,Spectra_22,Spectra_23,Spectra_24,Spectra_25,Spectra_26,Spectra_27,Spectra_28,Spectra_29,Spectra_30,Spectra_31,Spectra_32,Spectra_33,Spectra_34,Spectra_35,Spectra_36,Spectra_37,Spectra_38,Spectra_39
PPP1R10,7.27237479628106e-13,1.6191725110437496e-11,0.0061902008324591345,0.10207975434563574,0.003143519197942524,0.001028364252595709,0.036249047104399724,1.4017716732097919e-11,2.8629961254977095e-12,0.005136890610775745,6.744027892518365e-12,1.3117216896998592e-14,3.108471951615946e-11,4.0519634053588126e-14,3.084779214843096e-05,0.002103558591615474,5.734883998258775e-11,1.396423120763688e-12,0.00040606878203214487,7.420212044901119e-05,1.73589207884656e-10,3.628255225902866e-06,7.349522559616743e-05,8.510892883108136e-05,0.0010291038298393502,6.371191312031214e-05,1.6852727555880865e-13,2.4580205815123765e-15,0.0008047610402306869,1.444439883691919e-14,4.5843338881768977e-11,0.005434757251699287,0.004490952115369038,1.852634005441206e-11,4.463950534979194e-06,0.0007269454153366248,0.0056432612055587585,6.927044260844445e-11,1.708746213778707e-05,8.918058598285875e-06
PPP1R12A,1.703812806773095e-11,1.3721977831795405e-08,0.010482908723576243,1.6073553246002416e-05,0.002072175586836658,0.00038426115695288873,0.001853810454807754,1.6416283348849406e-11,7.377038351103544e-11,9.998509470688653e-11,2.6168096937594624e-06,1.7008270417970096e-13,0.0014314239299108957,0.00021334714891864002,0.0033741615648970108,0.003897416232924378,0.023213297206848428,4.278806934909317e-05,2.351157682958231e-06,0.0027561804583839077,0.04044627802042798,0.007360771936677265,0.0002549744722738163,0.0003220015068290567,0.03631404880565407,0.00260291050000912,0.03584801162936272,0.002949318132601872,3.841566905239531e-12,0.03475930038602207,0.02648093389399604,0.012831294668585558,0.0024199714759409663,0.014797278792835504,0.040747411505731045,5.053039219879145e-05,0.020171893860633016,0.03521910941222008,0.0021869544598646755,0.03594705418580182
PPP1R15A,0.005721566710449102,0.006408914219965842,1.8947666433520113e-06,0.07367647481573684,0.0008140633765395003,8.028947636804907e-07,0.0031933571226863463,0.011025370630909434,8.827632445259766e-09,1.599329416112697e-05,0.10735148978656255,1.1122719739744705e-06,6.448328043542885e-07,0.000947879657976193,0.05610551444042645,7.498119177232245e-05,0.004382616374744509,4.43142353499822e-05,7.011050802015542e-11,0.0020846413907394125,0.009753119697104752,1.0718976375096399e-05,0.019944768748561575,0.11059382147040753,1.0680621564850154e-10,9.271511597948206e-10,2.7297763983072674e-06,6.651872048994831e-13,0.03476708455080455,0.009283161348053568,0.010397824490561222,8.671705150927123e-10,0.016013273746489833,0.04625091203156971,3.820032384984207e-09,1.4218997630023042e-11,0.01079870904220576,3.1667894792686025e-10,0.15631492987870194,0.032256670207718996
PPP1R15B,3.905807407517467e-12,4.5466278919398635e-10,8.353745259572652e-10,0.05260087002526984,0.0009065259670612046,1.189083840291015e-08,7.930504155164912e-06,9.431736736245938e-08,2.117030660402755e-09,1.3112294909354231e-08,0.02957061255318698,1.2164464664004907e-12,1.565239335749929e-08,2.407468788410256e-12,1.7986508536985802e-06,0.0007535229043693139,0.012218032095422776,2.8519370704459664e-11,5.320721558287392e-13,2.1599665350843174e-06,4.574571614169467e-11,0.0014231051591274764,1.647137798629488e-13,0.028584184455652556,3.933296176291727e-11,1.2155064974400623e-12,0.011663202515179964,4.2692718644734053e-07,4.259817958127536e-10,0.0070838995575155115,0.001879882776063146,7.104188100710523e-13,8.773400527116191e-14,3.777562625976832e-08,2.668978558597409e-13,8.931227811080934e-15,4.656649454079152e-06,2.0423013671105798e-10,1.4125734247196717e-05,0.03340498614068158
PPP1R2,1.3928368346766027e-11,2.1764659171962897e-05,0.006650573480919641,0.0035337134127609564,0.0012367716905944087,2.28931276784462e-13,0.0015309160383147253,0.010142305303699525,0.01595838486013158,3.646150577690683e-12,0.008238585229604765,3.723172040897377e-13,0.0027253788139773344,1.014091438500499e-13,0.24727286846376081,0.000189911238720934,0.02171576266038021,0.002569693686804122,7.001448986188943e-15,0.007375145693787221,0.010066418907985685,3.3680654780008796e-08,0.002925940543577239,0.10796545277276269,0.02403891868364973,0.0014230077074589265,0.020185486286401016,3.603377556588126e-07,0.050852743029061044,0.012558830676549879,0.006082901643942245,0.007792892080830348,1.130935632350603e-06,0.03714644555878518,0.0004954028473465734,1.0257261377773362e-11,0.004713209803500399,1.8899469465824453e-07,0.05573061621967936,1.3416634945578087e-08
PPP1R21,1.4402253427135347e-14,6.297192310755181e-09,0.000794905306439252,0.0006982375987779982,0.0018794254864540453,7.368768768615445e-16,1.3968950596507803e-13,1.0564384420502857e-06,0.000505905150845018,1.7147414029125611e-15,4.831536469245918e-11,1.2088207867729618e-15,1.2205973724201918e-15,7.424696728942182e-15,4.581392977819044e-05,7.716497725657953e-05,2.5913576512001492e-12,9.14787375488211e-15,0.00012402173547575084,3.934846276099948e-09,0.014590472372259666,0.001117574269711196,1.8350693354556902e-13,0.00016959423088681524,0.007256672936413464,1.1146559428201728e-12,0.006250818394649234,0.006807041252906444,0.08428736795650618,0.008188673819646641,0.006320698499361649,0.005284677649819889,1.0066248742135548e-12,0.028584287669225317,6.0693482319265686e-05,5.300090111420135e-13,0.0029946475532871193,0.03126769594193128,0.02309368736418574,1.2374179016483944e-08
PPP1R37,2.6415617300316248e-14,5.240513083915577e-14,0.0019401567795951167,0.0030945955359527157,0.00040195556726373827,1.5707757605534577e-15,1.0584776294061891e-07,8.657934411258021e-07,4.460969579369001e-15,2.1371382839879814e-14,1.9355774244325232e-14,8.996391611693113e-16,1.2551917556060101e-15,5.0027237946348705e-15,2.9601579924455598e-05,0.0008375348536051851,0.0020571284085716037,1.9849583173689366e-14,8.257919908738872e-15,3.794157514766213e-12,1.488350979962057e-06,7.150055283203924e-06,1.817660951258049e-15,7.487149761098241e-06,0.0022332708141695793,5.953927212800807e-15,2.318600155563949e-09,1.3230647621638922e-10,0.03167548401475318,0.00743217691162145,0.0013551625540019249,6.28650500945777e-05,0.00115514553755018,1.9598001110064922e-11,0.0021655364845339074,8.574617738696484e-14,0.00022010142409169375,0.01993675345852789,0.020678123781912045,4.85949034230103e-10
PPP1R3E,2.751192580840389e-13,0.004693126853461144,3.328594589843739e-05,0.010951525587153711,0.0015175302387440564,8.435139349158203e-15,8.911756210932306e-13,5.8778385484598695e-05,0.008740748743022,4.018036440541859e-14,5.786392215383032e-14,2.4340215798466154e-05,3.6939224249951883e-14,7.180718903226608e-07,0.08016331596475776,1.0315241433191958e-09,8.328217967592299e-12,0.02021032342817787,9.874196787428458e-05,2.57746077975086e-10,5.90828984971619e-09,2.470701627410267e-08,2.647616841490888e-17,1.0180541591972595e-06,0.00039772012422781673,5.321388524201716e-17,1.0231391706351106e-09,2.171611061685596e-13,0.00848799414322127,3.6499565264409843e-06,1.302708210787286e-10,2.9209554350086146e-14,2.0145482929546508e-15,8.636058798150566e-09,1.2607954453359552e-14,5.10290134298651e-16,5.472389093390542e-07,1.1807082388535271e-07,0.0001309663083561277,0.0007676322114109187
PPP2CA,5.987560336653988e-13,4.302965890134012e-13,3.343754884660275e-12,1.832632165468727e-08,0.00011816013589998516,3.9649302873688973e-14,0.002655310337638817,2.7494801180408978e-12,3.951891547865662e-14,8.239277104938821e-14,1.3218554225900454e-07,0.0004375886037512311,0.0016164605242752173,2.154794920024592e-14,1.4193691834053252e-06,0.0014571146855010826,7.229197970102593e-13,1.4372439209490532e-14,0.00022776634963160374,0.009713852059721717,0.000479519989731985,0.006505684587351524,0.0024558342509349695,0.0007907041545961724,0.0788758831997439,0.006594705582214269,0.018911534905736396,0.03479727496584773,0.0004592880945393802,1.2769879353120422e-11,0.026402784501831953,1.9670066742913734e-11,0.005701552159733946,4.81523741046199e-07,0.027337867513995365,0.003787169066011201,0.022535672094624225,8.020065521302698e-11,0.0002529317261155819,3.3178397561215935e-10
PPP2R2D,2.642229916534219e-09,0.006194936757805396,2.8879799343842196e-06,0.0009493849611987357,0.0002473840227978177,5.3573270962648524e-08,0.0008640778689796419,0.00031612638496944235,0.003137974637401213,6.393891017623327e-12,7.616008116505034e-05,0.00011168201477235126,0.0002961846795085335,0.0001319804317621936,8.940335922217203e-06,0.0011097551494913644,5.868900726747155e-11,0.00749363727613713,2.462591785044467e-09,0.0028316650537816386,3.080660481034075e-05,1.0586539092238711e-05,0.0004637051182714958,0.055063010528103945,1.604255572084281e-11,0.004120272439196397,1.171243760527402e-06,1.65341021034101e-05,0.0006933214495239927,0.005038110290613351,0.0016875110804724317,6.635073254591933e-11,3.031649131242454e-07,4.738645510720324e-11,4.373639719851533e-08,0.002920038646976858,8.451579436152307e-05,0.016985095705822115,0.021389422585346343,0.007903923655257048
