feature_name,Spectra_0,Spectra_1,Spectra_2,Spectra_3,Spectra_4,Spectra_5,Spectra_6,Spectra_7,Spectra_8,Spectra_9,Spectra_10,Spectra_11,Spectra_12,Spectra_13,Spectra_14,Spectra_15,Spectra_16,Spectra_17,Spectra_18,Spectra_19,Spectra_20,Spectra_21,Spectra_22,Spectra_23,Spectra_24,Spectra_25,Spectra_26,Spectra_27,Spectra_28,Spectra_29,Spectra_30,Spectra_31,Spectra_32,Spectra_33,Spectra_34,Spectra_35,Spectra_36,Spectra_37,Spectra_38,Spectra_39
SLC39A11,0.000514653388888128,0.0014551956171254,2.4432211436934983e-05,1.488851341790529e-10,0.04022541937544919,1.1615135666334792e-09,8.056576790466191e-07,0.14866589881721703,1.282007083923153e-10,3.061122123873899e-08,0.0011237322200763123,0.0005322338415205371,0.0023570449160575345,0.00046315114175913386,1.4390624750186996e-05,0.07555340091186862,0.0015367085626449986,3.7435685513151682e-06,0.024263117039172343,0.009732324398908808,0.027017701079999557,0.01583125162608093,0.0029384140914514604,0.0002913241597518755,0.04219978362865711,0.03142605213685236,0.000576657124171389,0.007150616157181659,0.0008573855250375633,0.012016091889817905,0.0015810712195254487,0.050337888329077915,0.004996312544839463,0.05251147654288581,0.013643655334894644,0.0020585167784854565,0.019171502040411383,0.060591924353174745,0.02854159827787841,0.012704887206354641
EPHB2,1.836886353187195e-11,1.0253902430869822e-08,4.474898711791107e-14,6.247809273762803e-06,0.02184868503085289,1.0625056872931029e-12,6.9360541951894e-07,1.293947702975267e-11,2.3663662477617245e-09,4.363189650967757e-09,1.1760064496371535e-11,1.0336119571028665e-08,1.4371932591188994e-08,0.0016881592404450858,9.349340927812677e-14,1.0519645929565202e-08,0.0013760979814913964,5.297419100095886e-13,0.004129654571478415,2.5282325002589932e-11,6.993628431103995e-07,0.0006146824082839733,9.046718218539587e-05,0.001037946038799532,6.363633387519806e-10,1.3391841254806767e-13,5.305574136407951e-13,6.907141501262809e-13,4.3306307141065196e-09,5.915406814305011e-14,3.3120654963197196e-10,0.0177671425037535,0.06391808756473562,0.08509340121378588,0.022042362368877196,1.3291817267252256e-08,0.008605864964105476,0.14452088392528173,0.01974943228235821,3.1883542368535676e-05
PRAM1,0.0001380548223967246,4.4513105378753307e-14,5.948379447952363e-15,6.040825100598151e-17,0.013556923159707593,4.282383809452876e-14,3.0678897447936764e-12,9.509011341879704e-13,6.204417162634567e-06,1.160382729815821e-15,1.1688723037392249e-12,0.0017831857212620564,4.201857309893064e-09,7.456704558577334e-10,2.621121311777221e-14,1.391292000499565e-10,1.038614837661768e-06,1.1590876895105417e-13,0.0023175517150737374,0.007792439608280832,0.0005523169060226608,0.008704471853329026,0.0004228872887810486,8.761568094660343e-15,0.0001877807639465395,2.7391963910754885e-06,4.865245507054683e-13,5.975047524750575e-13,1.85084773069191e-07,9.043748507730453e-14,5.915090754927861e-10,0.05664338791636623,0.0003034187087076127,0.09012852202025295,0.010187232958331363,8.346835109946917e-10,0.05584954828863892,0.1014225854097049,0.019989489830875555,0.031220749866236998
MACROD1,0.0006580130539867366,0.001971222122223642,6.603505293724847e-11,1.8773200117845275e-15,0.10000344104170542,2.832081623259076e-12,0.00018168436106333447,0.0409232199071889,0.005837275058956265,9.168683297622745e-16,0.002455355563332176,0.0001921745665747093,3.5321050037680325e-09,1.0395850321691276e-06,0.00011330862742922993,8.342094988999316e-08,1.1248567455585862e-05,0.0029760450973595606,0.0025368268342020805,9.136742201118584e-11,3.808804504315921e-08,6.926576358486098e-06,9.909820638857685e-16,0.0018798137078106644,5.489220969248597e-06,1.6593871555482464e-14,0.0017256111832889183,4.8878243772707785e-15,1.007298588356329e-07,0.002003585218147949,0.0006373465835336937,0.01945431647606709,0.06710761678819294,2.510665838671204e-07,1.9035835194363213e-11,7.403709284095919e-13,0.0047642707790646385,0.010213349201221755,0.01011287878778925,1.4235763337145022e-08
PDZD2,0.001196770689569336,7.257584741185061e-12,0.0001279215018119678,1.1902480856006052e-05,0.06165058573521781,4.367546857537611e-05,0.0013600821638410036,1.3583967001798822e-08,0.004947755430922666,3.5130521572323184e-05,1.520272054504106e-06,2.348818449778658e-10,0.01180273405529999,5.75896894933891e-06,1.511699205648495e-11,0.021963607398538393,0.023280726277965094,1.4608534473629102e-10,0.0033040605117741046,0.025246107172615603,0.0010185433575366704,0.01582693207985187,0.0007541276185871655,0.0005848243683853632,0.00011475803880412093,0.034387675719903865,0.03790562221827299,1.7536524349073835e-07,0.0018760045448860529,0.03130799561786969,0.00021550960996229244,0.005835447855142836,0.020271908126381164,4.495185741362307e-10,7.364458800091611e-09,0.001952281166299447,0.006266106559474204,5.3198925594799585e-05,0.013756347509911764,0.0025031938914187733
AGAP3,0.00030575990596301686,1.8657607960822507e-13,0.0006830631931794037,6.116307388252031e-14,0.08014001413263883,1.1531714345777077e-12,0.002171381219893333,7.367328787160715e-13,0.02394276786419968,4.26931927506444e-13,1.4357062177350474e-12,0.0008883016000414946,1.3231313047228918e-05,2.014064184373763e-11,1.330322233534568e-10,8.863995729076136e-09,0.0026620716210764886,3.496154592481603e-05,0.02977163776691409,0.015348074947473015,0.0033302604372057085,0.01968976731946648,0.004346513400527338,0.001562680911731248,0.00873168333962164,0.021227706710491324,0.00020744156271101753,0.009239314633301857,1.7938345493339497e-06,0.006068667432450146,0.0007741002348482424,0.013904958930299312,0.020747750261789075,0.0001581897981799837,0.014713907868313092,2.0139085801104357e-09,0.004217272551412555,0.06379504002257198,0.029320470921317607,0.013081075977733857
BTG1,1.0948109859428002e-10,3.82734913463819e-10,1.827401366776609e-15,2.815943622020979e-17,1.7747605233712698e-06,0.020153912427211557,0.005467823307321827,0.01690332523449624,0.010792201594772574,1.902515760917915e-17,7.898831271774744e-14,1.879704239762769e-05,1.8532501794434433e-05,5.843693846975276e-07,1.0575486878773142e-14,0.00017110863032500652,6.678838650886883e-11,6.176573394335566e-15,3.971411600478854e-10,3.9292031618898996e-10,1.7683291170604704e-07,6.233804481454468e-05,1.7071297270540115e-10,2.713949909758095e-08,2.2543446469496935e-06,0.014144685413359996,0.007532200838137481,0.0037219382178455764,0.005488814939031814,0.014968959370932303,0.007256601179146712,5.5614758749247025e-08,0.06562417170301553,0.013645950711687848,4.849230272271325e-09,0.008173032632372873,2.3703560987064765e-08,1.7297011988217208e-07,0.01879512545644961,0.06890540393459087
TMTC1,0.0015883130496254332,1.8982056824403238e-13,3.933706594666672e-11,5.1391312753966154e-14,0.006654379858106374,0.0002143051065636906,0.001619908331257989,0.13947488331783356,3.2019261587894364e-11,8.271033773382275e-11,0.0007175950517697048,0.001080990974174058,0.00017479433194510731,6.042101691449994e-09,1.4501787517868107e-13,0.02164515616139798,0.004892992510084321,9.672022457705995e-13,6.64594461202059e-05,1.4302716081396003e-09,0.016338647441883496,0.03350973892112932,8.280850869489582e-12,0.002655063676607764,0.0191925782874762,0.09346176293189135,0.0705609568148429,0.00048546033091351616,5.073848889750027e-05,0.13231163375778346,0.00015851371709224173,6.916375529390653e-13,7.498692280660498e-14,0.0016121021845773194,7.053749891348417e-15,4.147639392565162e-13,8.930884728563181e-06,9.20839630214098e-14,1.421555895604701e-13,0.0019365973627611802
CA1,6.521592238687197e-05,1.726307588253486e-14,1.0183229734016611e-13,8.041772507187651e-16,2.6327680552003693e-13,2.0453590356145214e-13,3.0982459228378203e-12,6.227757142707712e-14,0.0005392787058181074,4.431419483387955e-15,6.155709498904817e-13,1.0016858069783505e-11,0.004153892936530501,0.000100617386002164,1.4220012124985326e-13,1.2284988255501902e-12,8.808939699927273e-13,7.100772902500609e-14,2.447358211839002e-13,8.572237149387985e-12,7.886753741296372e-15,9.07675466793454e-14,4.5802659845531256e-17,7.739633039889895e-17,2.998248597404409e-13,1.4786916355212997e-16,2.5315301313729443e-16,3.92046945311469e-16,0.010296536129728103,1.8785412581461917e-16,2.4441523070563258e-05,4.716004006274078e-13,1.2762529738697784e-13,0.000348920883685029,7.631090276939377e-15,0.00022511210409549573,0.0003903374522241464,4.04037014439569e-06,3.556435691473164e-08,7.795780513423317e-13
CCDC59,0.0004653619214773241,6.670591350810502e-16,6.595520770588478e-15,1.8780331154084428e-10,4.1327322347594977e-13,6.070850914706065e-16,0.001304995511628309,2.4642878584427738e-12,0.0066140673204932825,1.019620281957489e-15,5.211551704497223e-14,0.003597885758668638,0.005253427345790187,1.994958849083851e-13,5.23354595233023e-14,8.302696164655336e-09,0.0012065391350616335,3.927001201458728e-15,0.0014093420242727811,0.028942390947098186,0.007063892123782887,0.14899886320712505,0.004595751110263382,0.0015891066954644604,1.418250034421062e-08,3.87399885612997e-12,4.274120546085365e-09,0.01340607477370576,2.5659979412277567e-05,0.019583112200389947,0.00029411804779570175,0.004477783539261833,0.03007306996758987,0.010008824376558697,7.481405397190516e-12,0.00029534043424770805,6.932803587041214e-06,9.383187089982966e-05,0.011010604962325943,0.004825639570611992
