cell_type,sdan_weight,program,factor,n_genes_overlap,n_program_genes_total,n_program_genes_overlap,auroc,average_precision
cd8_BL,2.0,SDAN_3,sciRED_5,1616,18,18,0.5943192879988874,0.015939248364413423
cd8_BL,2.0,SDAN_3,sciRED_6,1616,18,18,0.5065359477124183,0.016936891033648194
cd8_BL,2.0,SDAN_3,sciRED_7,1616,18,18,0.5009734390209986,0.018186780302332138
cd8_BL,2.0,SDAN_3,sciRED_8,1616,18,18,0.4604018912529551,0.010708368179506444
cd8_BL,2.0,SDAN_3,sciRED_9,1616,18,18,0.4760812126268947,0.011514547517894021
cd8_BL,2.0,SDAN_3,sciRED_10,1616,18,18,0.44715616743151165,0.009867461675577482
cd8_BL,2.0,SDAN_3,sciRED_11,1616,18,18,0.6077040745376164,0.023493105980991788
cd8_BL,2.0,SDAN_3,sciRED_12,1616,18,18,0.4481991378111529,0.010228910342618688
cd8_BL,2.0,SDAN_3,sciRED_13,1616,18,18,0.46116673619802534,0.010040002969184026
cd8_BL,2.0,SDAN_3,sciRED_14,1616,18,18,0.624774023084411,0.01866920556069873
cd8_BL,2.0,SDAN_3,sciRED_15,1616,18,18,0.48324294256709777,0.012128598447815669
cd8_BL,2.0,SDAN_3,sciRED_16,1616,18,18,0.5558684466694479,0.014030625970100949
cd8_BL,2.0,SDAN_3,sciRED_17,1616,18,18,0.4899179529968016,0.015916369780366958
cd8_BL,2.0,SDAN_3,sciRED_18,1616,18,18,0.45692532332081776,0.010642572422500062
cd8_BL,2.0,SDAN_3,sciRED_19,1616,18,18,0.4740300375469336,0.017602013674447747
cd8_BL,2.0,SDAN_3,sciRED_20,1616,18,18,0.42737449589764975,0.01658365077810032
cd8_BL,2.0,SDAN_3,sciRED_21,1616,18,18,0.5348699763593381,0.015755220308114395
cd8_BL,2.0,SDAN_3,sciRED_22,1616,18,18,0.4737519121123626,0.019909638195068052
cd8_BL,2.0,SDAN_3,sciRED_23,1616,18,18,0.4454178834654429,0.009697751540884538
cd8_BL,2.0,SDAN_3,sciRED_24,1616,18,18,0.6885342789598109,0.09102760249007812
cd8_BL,2.0,SDAN_3,sciRED_25,1616,18,18,0.682415519399249,0.02005136663574434
cd8_BL,2.0,SDAN_3,sciRED_26,1616,18,18,0.660095953274927,0.0372654146091511
cd8_BL,2.0,SDAN_3,sciRED_27,1616,18,18,0.6196287025448477,0.04795288823504054
cd8_BL,2.0,SDAN_3,sciRED_28,1616,18,18,0.4817480183562787,0.012497006931037832
cd8_BL,2.0,SDAN_3,sciRED_29,1616,18,18,0.4590460297594215,0.010532752511632625
cd8_BL,2.0,SDAN_3,sciRED_30,1616,18,18,0.5491239048811015,0.01917447535329641
cd8_BL,2.0,SDAN_3,sciRED_31,1616,18,18,0.47375191211236267,0.012171740488099244
cd8_BL,2.0,SDAN_3,sciRED_32,1616,18,18,0.5246141009595328,0.011835299221563518
cd8_BL,2.0,SDAN_3,sciRED_33,1616,18,18,0.4732999582811848,0.0151787431518633
cd8_BL,2.0,SDAN_3,sciRED_34,1616,18,18,0.45240578500903905,0.010409927095284387
cd8_BL,2.0,SDAN_3,sciRED_35,1616,18,18,0.5902169378389653,0.01684399393676423
cd8_BL,2.0,SDAN_3,sciRED_36,1616,18,18,0.44670421360033374,0.011835229293969535
cd8_BL,2.0,SDAN_3,sciRED_37,1616,18,18,0.5677235433180364,0.015517169836349798
cd8_BL,2.0,SDAN_3,sciRED_38,1616,18,18,0.5080656376025587,0.011366634530792157
cd8_BL,2.0,SDAN_3,sciRED_39,1616,18,18,0.4238979279655124,0.010717355620178861
cd8_BL,2.0,SDAN_4,sciRED_0,1616,18,17,0.6075120479711584,0.024970535180112628
cd8_BL,2.0,SDAN_4,sciRED_1,1616,18,17,0.5138137806717433,0.012825550692607456
cd8_BL,2.0,SDAN_4,sciRED_2,1616,18,17,0.43446271566788064,0.009076505370091727
cd8_BL,2.0,SDAN_4,sciRED_3,1616,18,17,0.44009123349152046,0.009492255506218315
cd8_BL,2.0,SDAN_4,sciRED_4,1616,18,17,0.7512415848140381,0.02808492851003132
cd8_BL,2.0,SDAN_4,sciRED_5,1616,18,17,0.6440422322775264,0.12569938670529673
cd8_BL,2.0,SDAN_4,sciRED_6,1616,18,17,0.6065555678181216,0.013714638573105304
cd8_BL,2.0,SDAN_4,sciRED_7,1616,18,17,0.6244343891402715,0.01922219660377293
