cell_type,sdan_weight,program,factor,n_sdan_genes,n_spectra_genes,n_genes_overlap,n_program_genes_total,n_program_genes_overlap,auroc,average_precision
Astro,2.0,SDAN_4,Spectra_5,2000,2847,1481,44,20,0.4005475701574265,0.011050052089799488
Astro,2.0,SDAN_4,Spectra_6,2000,2847,1481,44,20,0.31875427789185495,0.010183092734253918
Astro,2.0,SDAN_4,Spectra_7,2000,2847,1481,44,20,0.5832991101984942,0.016129729534753442
Astro,2.0,SDAN_4,Spectra_8,2000,2847,1481,44,20,0.2965434633812457,0.009293802672275512
Astro,2.0,SDAN_4,Spectra_9,2000,2847,1481,44,20,0.513347022587269,0.01372146815359078
Astro,2.0,SDAN_4,Spectra_10,2000,2847,1481,44,20,0.39383983572895276,0.012733037278996849
Astro,2.0,SDAN_4,Spectra_11,2000,2847,1481,44,20,0.3322039698836413,0.009666828072604538
Astro,2.0,SDAN_4,Spectra_12,2000,2847,1481,44,20,0.5381930184804927,0.020899406530140743
Astro,2.0,SDAN_4,Spectra_13,2000,2847,1481,44,20,0.49969199178644763,0.013513411057615592
Astro,2.0,SDAN_4,Spectra_14,2000,2847,1481,44,20,0.32275838466803564,0.009564151666672873
Astro,2.0,SDAN_4,Spectra_15,2000,2847,1481,44,20,0.6383299110198495,0.03421139118238171
Astro,2.0,SDAN_4,Spectra_16,2000,2847,1481,44,20,0.4151266255989049,0.011092638747889436
Astro,2.0,SDAN_4,Spectra_17,2000,2847,1481,44,20,0.32306639288158795,0.010019868297347974
Astro,2.0,SDAN_4,Spectra_18,2000,2847,1481,44,20,0.1826488706365503,0.008391589906237309
Astro,2.0,SDAN_4,Spectra_19,2000,2847,1481,44,20,0.5600958247775497,0.020623166856546783
Astro,2.0,SDAN_4,Spectra_20,2000,2847,1481,44,20,0.31759069130732376,0.00966395925498227
Astro,2.0,SDAN_4,Spectra_21,2000,2847,1481,44,20,0.8258384668035591,0.06322633853184528
Astro,2.0,SDAN_4,Spectra_22,2000,2847,1481,44,20,0.3395277207392197,0.009911742347072603
Astro,2.0,SDAN_4,Spectra_23,2000,2847,1481,44,20,0.5397672826830937,0.015578718746145772
Astro,2.0,SDAN_4,Spectra_24,2000,2847,1481,44,20,0.36947296372347704,0.010545389341349048
Astro,2.0,SDAN_4,Spectra_25,2000,2847,1481,44,20,0.4457905544147844,0.011730340444158717
Astro,2.0,SDAN_4,Spectra_26,2000,2847,1481,44,20,0.40294318959616704,0.010917148977245602
Astro,2.0,SDAN_4,Spectra_27,2000,2847,1481,44,20,0.7566050650239562,0.14695016306792952
Astro,2.0,SDAN_4,Spectra_28,2000,2847,1481,44,20,0.6474674880219028,0.025980976970336713
Astro,2.0,SDAN_4,Spectra_29,2000,2847,1481,44,20,0.4760438056125941,0.012526850661107328
Astro,2.0,SDAN_4,Spectra_30,2000,2847,1481,44,20,0.3368583162217659,0.009879387900144575
Astro,2.0,SDAN_4,Spectra_31,2000,2847,1481,44,20,0.19623545516769336,0.008595498651608616
Astro,2.0,SDAN_4,Spectra_32,2000,2847,1481,44,20,0.215605749486653,0.008495185978711375
Astro,2.0,SDAN_4,Spectra_33,2000,2847,1481,44,20,0.3161875427789186,0.009622698127440522
Astro,2.0,SDAN_4,Spectra_34,2000,2847,1481,44,20,0.15588637919233403,0.007962740795261386
Astro,2.0,SDAN_4,Spectra_35,2000,2847,1481,44,20,0.24291581108829569,0.017056845152633376
Astro,2.0,SDAN_4,Spectra_36,2000,2847,1481,44,20,0.32327173169062284,0.009566048652685257
Astro,2.0,SDAN_4,Spectra_37,2000,2847,1481,44,20,0.3887063655030801,0.010755727945513698
Astro,2.0,SDAN_4,Spectra_38,2000,2847,1481,44,20,0.3840177960301163,0.010540778465334726
Astro,2.0,SDAN_4,Spectra_39,2000,2847,1481,44,20,0.33788501026694046,0.009766206276595212
Astro,2.0,SDAN_5,Spectra_0,2000,2847,1481,43,40,0.4397814018043026,0.022465182608198245
Astro,2.0,SDAN_5,Spectra_1,2000,2847,1481,43,40,0.4359472588480222,0.026813675154623545
Astro,2.0,SDAN_5,Spectra_2,2000,2847,1481,43,40,0.5336051353226926,0.04996675105595699
Astro,2.0,SDAN_5,Spectra_3,2000,2847,1481,43,40,0.38763011797362945,0.02173025927901824
Astro,2.0,SDAN_5,Spectra_4,2000,2847,1481,43,40,0.46120749479528106,0.02373502866384805
Astro,2.0,SDAN_5,Spectra_5,2000,2847,1481,43,40,0.4192574600971548,0.02183700207166522
Astro,2.0,SDAN_5,Spectra_6,2000,2847,1481,43,40,0.5404927133934767,0.032245535767068415
Astro,2.0,SDAN_5,Spectra_7,2000,2847,1481,43,40,0.4229875086745316,0.02310728583889879
Astro,2.0,SDAN_5,Spectra_8,2000,2847,1481,43,40,0.47649201943095076,0.026167357942092132
Astro,2.0,SDAN_5,Spectra_9,2000,2847,1481,43,40,0.4774288688410826,0.03474048837854044
Astro,2.0,SDAN_5,Spectra_10,2000,2847,1481,43,40,0.4333622484385843,0.023542045418670027
