term	set_size	overlap	pval	padj	n_genes_used	n_term_de_genes	score_col	term_genes	term_de_genes
Immune::HOWARD_PBMC_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_19_39YO_AS03_ADJUVANT_VS_BUFFER_1DY_UP	160	39	3.0272534309824405e-06	0.0006978280468353118	160	39	term_score_20	ACSL1;ADAM9;ADAMTSL4;ADPRH;AIF1;AIM2;AK4;APOBEC3B;APOL1;APOL2;APOL3;APOL4;APOL6;ATF3;ATF5;ATP6V1B2;BACH1;BCL2A1;BCL3;BCL6;BEST1;BLVRA;C3AR1;CARD16;CASP1;CASP7;CCR1;CCR2;CCRL2;CD274;CD38;CDKN1A;CMPK2;CTSB;CTSS;DDX60;DPYD;DRAM1;DSE;DTX3L;DUSP1;DUSP3;DUSP6;EGR2;EGR3;EMILIN2;EPSTI1;ETV7;FAM157B;FAM72A;FBXO6;FCER1G;FGL2;FOS;GBP1;GBP2;GBP3;GBP4;GBP5;GCA;GCH1;GLUL;GM2A;GNB4;GNG10;GRINA;HERC5;HLA-DQB1-AS1;HSPA6;ICAM1;IFI30;IFI35;IFI44;IFI44L;IFI6;IFIH1;IFIT1;IFIT2;IFIT3;IFITM3;IFNGR2;IL15;IL15RA;IRF1;IRF7;ISG15;ITPRIPL2;JAK2;LAMP3;LAP3;LILRB1;LILRB3;LMNB1;LYN;LYZ;MCTP1;MEGF9;MIR22HG;MSRB1;MT2A;MTHFD2;MX1;NAMPT;NCF1;NLRP3;NMI;NOD2;NPC2;OAS1;OAS2;OAS3;OASL;ODF3B;P2RX7;PARP14;PARP9;PFKFB3;PKMYT1;PLEKHO1;PLSCR1;PLXNC1;PRRG4;PSMA4;PSMB9;PSME2;PSTPIP2;RASGEF1B;RGS1;RSAD2;RTP4;SAMD9L;SBNO2;SCARB2;SCO2;SECTM1;SLAMF8;SLC31A1;SMCO4;SNX10;SOCS3;SOD2;SRGN;STAT1;STAT2;STX11;TAP1;TMEM106A;TNFSF10;TNFSF13B;TRAFD1;TRIB1;TYMP;UBE2D1;UBE2L6;VAMP5;VDR;VRK2;XAF1;XKR8;ZEB2-AS1	AK4;ATF3;BCL3;C3AR1;CASP1;CCR2;CCRL2;CD274;CTSB;EGR2;GBP1;GLUL;GM2A;GNB4;IFI44;IFI44L;IFI6;IFIT1;IFIT2;IFIT3;IFITM3;IFNGR2;IL15;ISG15;LAMP3;MT2A;MTHFD2;MX1;NPC2;OAS1;OASL;P2RX7;PFKFB3;RASGEF1B;RGS1;RSAD2;SLAMF8;TNFSF10;XAF1
Immune::GSE36476_CTRL_VS_TSST_ACT_72H_MEMORY_CD4_TCELL_YOUNG_UP	172	41	3.123583368125609e-06	0.0006978280468353118	172	41	term_score_21	ADD3;AMT;ANXA1;APBA2;ARHGEF18;ARL4A;ARL4C;ATG14;ATP2B1;ATXN7;BTG2;CAPRIN2;CCDC59;CCNL1;CD300A;CD69;CDR2;CHD1;CIRBP;CITED2;CLK1;CLK4;CNOT2;COQ10B;CREBBP;CRTC3;CRY2;CXCR4;DAZAP2;DIDO1;DNAJB1;DNAJB9;DSTYK;DUSP1;DUSP2;DYRK1A;DYRK2;ELF2;ENTPD4;EPHA4;FAM13A;FBXO21;FCGRT;FNDC3A;FOS;FOSB;GOLGA4;GPR183;GPRASP1;GZMK;HAUS3;HECA;HLA-F;HLA-G;IFIT1;IFITM1;IFITM3;IL10RA;IL11RA;IL6R;IL7R;IRS2;ITGB2;ITPR3;JAM3;JUNB;KANSL2;KAT6B;KIAA0513;KLF2;KLF3;KLF6;KLF7;KLHL20;KLRB1;KLRG1;LEPROTL1;LINC00623;LONP2;LPIN1;MAPK1IP1L;MBIP;MBNL2;MED6;MGAT4A;MOAP1;MX2;MXI1;MYLIP;NAIP;NBPF10;NCK2;NDEL1;NKTR;NLRP3;NR4A2;NUP160;PBXIP1;PCMTD2;PDCD4-AS1;PELI1;PER1;PHC1;PIAS2;PIK3C2B;PIK3IP1;PIK3R1;PLCL2;PLK3;PNISR;PPP1CB;PRKCB;PTGER4;PTP4A1;PXN;RAB11FIP2;RABL3;RALGAPA1;RALGPS1;RAP1GAP2;RASGRP2;RGCC;RLF;RNASET2;RNF11;RNF44;RORA;RPL35A;RPL38;RPS27;SCML1;SEMA4C;SERINC5;SETD2;SGK1;SH2B3;SIGIRR;SIK1;SLC2A3;SMURF1;SORL1;STOM;TCTA;TIMP1;TIPARP;TMEM123;TMEM127;TMEM185B;TMEM41B;TMEM63A;TMX4;TNFAIP3;TNIK;TOB1;TSC22D1;TSC22D3;TSPYL1;TSPYL2;TSPYL4;TTC17;TXNIP;UBL3;USP3;USP34;UVRAG;VCPKMT;YPEL5;YTHDF3;ZFP36L2;ZNF136;ZNF331;ZNF639	ANXA1;APBA2;ARHGEF18;ATXN7;BTG2;CD69;CLK1;CNOT2;CXCR4;EPHA4;FOSB;GPR183;GPRASP1;HECA;IFIT1;IFITM3;IL7R;JUNB;KLRB1;MGAT4A;NR4A2;NUP160;PER1;PIK3IP1;PIK3R1;PLK3;PTP4A1;RAB11FIP2;RALGAPA1;RALGPS1;RASGRP2;RGCC;RPS27;SCML1;SERINC5;SIK1;SORL1;TMEM63A;TSPYL2;YPEL5;ZFP36L2
Reactome::REACTOME_SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY	36	15	3.752658547454902e-06	0.0008129623016895483	36	15	term_score_22	EEF1A1;FAU;HNRNPA1;RPS10;RPS11;RPS12;RPS13;RPS14;RPS15;RPS15A;RPS16;RPS17;RPS18;RPS19;RPS2;RPS20;RPS21;RPS23;RPS24;RPS25;RPS26;RPS27;RPS27A;RPS27L;RPS28;RPS29;RPS3;RPS3A;RPS4X;RPS4Y1;RPS5;RPS6;RPS7;RPS8;RPS9;RPSA	EEF1A1;RPS10;RPS12;RPS14;RPS17;RPS18;RPS2;RPS23;RPS25;RPS26;RPS27;RPS27A;RPS3;RPS3A;RPS6
Immune::GSE360_CTRL_VS_M_TUBERCULOSIS_DC_DN	128	33	4.7618384641728435e-06	0.000934155068173506	128	33	term_score_23	AASS;ACP2;ACSL1;ADA;ADRB2;AGRN;AK4;ANKRD12;ARL4A;ATF5;ATG4A;ATN1;ATP2A2;ATP6V1E1;AURKB;BRCA2;BST2;C3AR1;CASP1;CCL3;CCL4;CCR7;CD38;CD44;CD80;CD83;CHST7;CRLF3;CUL1;CYB5A;DLEC1;DNAJB1;DUSP5;DYNLL1;EHBP1;ELL2;EPOR;FCGR3B;FICD;FSCN1;GADD45A;GBP1;GBP2;GLUL;GNA12;GPD2;GSR;HSPA8;ICAM1;IER3;IFI44;IFI6;IFIT2;IFITM2;IFNG;IFRD1;IL10;IL2RG;IRF9;KRT86;L3MBTL1;LCP2;LDHA;LITAF;LRP8;LYN;MANF;MAP2K3;MCCC2;MFAP3;MSC;MT2A;NCALD;NDRG1;NFKBIA;NR4A3;OAS2;OMD;PARP2;PFKFB3;PLXNC1;PPARD;PSMA5;PTK2B;RASGRP1;RBMS1;RELB;RGS1;RNF19B;RUNX3;S100A11;SBNO2;SCARB2;SEC61B;SERPINH1;SIK3;SKI;SMURF2;SNTB2;SQSTM1;SRGN;SRSF2;SRSF3;SSB;STAT2;STAT3;STK4;STX11;SYMPK;TAPBP;TNFSF10;TNIK;TNIP1;TOM1;TRAF1;TRAFD1;TRIB1;TRIP4;TSFM;TUBB;TUBB2A;TXN;TYMP;VAMP5;WBP2;WIPI1;WTAP;ZNF785	AK4;AURKB;C3AR1;CASP1;CCL3;CCL4;CCR7;CD44;CD80;DLEC1;ELL2;FCGR3B;GBP1;GLUL;GSR;IFI44;IFI6;IFIT2;IFNG;IFRD1;IL10;KRT86;MFAP3;MT2A;NR4A3;PARP2;PFKFB3;RGS1;SRSF2;STK4;TNFSF10;TUBB;WIPI1
Immune::SCHERER_PBMC_APSV_WETVAX_AGE_18_32YO_5_TO_7DY_DN	157	38	4.8347653549335186e-06	0.000934155068173506	157	38	term_score_24	A2M;ABCC5;ABLIM1;ADH5;ADSL;AKR1B1;ALOX5AP;ARL4C;ATP2B4;AXIN1;B4GALT3;BIN1;C12orf57;CBLB;CBX7;CCDC107;CCL5;CCR7;CD2;CD3D;CD3G;CD79B;CD8A;CD8B;CD99;CDC25B;CHML;CRIP1;CYFIP2;DBF4;DCAF8;DEXI;DGKD;DGUOK;DHRS3;ECI2;EEF1B2;EI24;EIF2S1;ESYT1;F11R;FCGBP;FGFBP2;FLNB;FOXO1;GATA3;GRAP;GZMA;GZMB;GZMH;GZMK;GZMM;HADH;HINT1;HSPA4;ICAM3;IGHG1;IGKC;IL11RA;IL16;IL18R1;IL18RAP;IL24;IL7R;INPP4B;ITGAE;ITM2A;ITPKB;KAT6A;KCNN4;KIF22;KLRB1;KLRC2;KLRC3;KMT2A;LAT;LCK;LDHB;LLGL2;LTB;MAX;MDC1;MDN1;MRPS21;MS4A1;NAP1L4;NELL2;NR1D1;NSG1;OSER1;P2RX5;PASK;PCED1B;PDE3B;PEBP1;PELP1;PHF20;POC1B;PPP6C;PRKCH;PRKCQ;PUF60;RAB33A;RASGRP2;RGS14;RHOH;RPA2;RPL10A;RPL12;RPL13;RPL13A;RPL14;RPL23A;RPL35;RPL37;RPL9;RPS10;RPS15A;RPS16;RPS18;RPS21;RPS27;RPS28;RPS29;RPS3A;RPS4Y1;SAE1;SH2D1A;SKAP1;SLC38A1;SMPD1;SNRPN;SORL1;SPOCK2;SPTBN1;SRPK2;TAF7;TCF3;TCF7;TMC6;TNPO1;TPD52;TRAF3IP3;TSPAN4;TTC3;TTK;TXK;UBB;VARS2;WDR54;XIAP;ZAP70;ZNF211;ZNF266;ZNF496;ZNF526;ZNF692	ABLIM1;CCR7;DHRS3;EEF1B2;EIF2S1;FCGBP;FGFBP2;FLNB;GZMB;IGHG1;IL18RAP;IL7R;ITGAE;KLRB1;KLRC2;LTB;MS4A1;NELL2;P2RX5;PASK;PELP1;RASGRP2;RPL13;RPL13A;RPL23A;RPL9;RPS10;RPS18;RPS27;RPS3A;SLC38A1;SORL1;TCF3;TCF7;TTC3;TXK;UBB;ZNF692
Immune::GSE3565_CTRL_VS_LPS_INJECTED_DUSP1_KO_SPLENOCYTES_DN	134	34	5.028080886152876e-06	0.000945940796187024	134	34	term_score_25	ABCG1;ABLIM1;ACSF2;ACTN1;ADCK5;ADD3;AKAP13;ARHGAP9;CAPRIN1;CCDC28B;CCR7;CCT5;CD2AP;CERS6;CLASP2;CNST;CSNK1G1;DAG1;DGKA;DKC1;DNMT3A;DPH5;DUSP10;DUSP6;EEF1B2;EEF2;EGR2;EIF4A1;EIF4B;ENG;ETV3;FAM3C;FAM78A;FANCC;FCHSD2;FILIP1L;FOXO1;GGT1;GRAMD1A;GRK6;GTF2I;HDAC4;ID3;IDH2;IFNGR2;IFT80;IKBKE;IKZF1;IKZF2;INPP4B;INPP5F;IRS2;ITGAE;ITM2A;JMJD1C;KDM5A;KLHDC2;LBH;LEF1;LIPA;LRRC42;LTB;MAP4K2;MAP4K4;MARS2;MBD3;MDN1;MPP1;MTHFD1L;MTSS1;MYB;MYC;N4BP2;NLK;NPC2;NRIP1;PCBP1;PDK1;PELI1;PIK3C2A;PIK3IP1;PITPNM2;PLAC8;PLEKHG2;PLEKHO1;POLE2;PRKD2;PRPS2;RAB3IP;RAPGEF6;RHOH;RNF114;RPF2;RPL18;RPL28;RPL36A;RPS26;RPS6KA1;RRAS2;SATB1;SCMH1;SELL;SESN1;SH3PXD2A;SIDT1;SIPA1L1;SMC4;SNRK;SREBF2;SRM;SSBP2;ST6GAL1;ST8SIA1;STT3B;SYNCRIP;TBL1X;TCF7;TCP11L2;TET1;TFRC;TIMM9;TMEM131;TOP2B;TOX;TRERF1;TRIB2;TRIM25;TTC3;UBE4B;USP28;WDR26;WDR43;ZEB1;ZYG11B	ABLIM1;ACSF2;ADCK5;CCDC28B;CCR7;DAG1;DGKA;DKC1;DNMT3A;EEF1B2;EGR2;FILIP1L;GGT1;ID3;IFNGR2;ITGAE;LEF1;LTB;MPP1;MYB;NPC2;PIK3IP1;PLAC8;RPS26;SATB1;SELL;SMC4;SRM;TCF7;TCP11L2;TIMM9;TRIM25;TTC3;WDR43
Immune::GSE2405_0H_VS_24H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP	189	43	6.554260139471968e-06	0.0011714101434271275	189	43	term_score_26	ABRACL;ACSL5;ACTB;ACTG1;AEBP2;AKR1A1;ANP32B;ANXA2;APOBR;ARF6;ARPC2;ARPC3;ATP6V1C1;BACH2;BRK1;BTF3L4;C12orf57;CAPRIN1;CCT4;CD68;CHCHD2;CLU;COPZ1;CORO1A;COX5A;COX6A1;COX6B1;CSNK1A1;DAP;DAZAP2;DECR1;EEF1B2;EEF1G;EIF3E;EIF3H;EIF3I;EIF4B;EIF4G2;ESD;FABP5;FCER1G;FERMT3;FXYD5;GDI2;GHITM;GIMAP8;GYPC;HADHA;HCLS1;HINT1;HNRNPA3;HNRNPC;HNRNPDL;HNRNPF;HNRNPK;HSPA5;HSPA8;HSPE1;IFIH1;IFITM2;IRF4;ISG15;ITGB1BP1;ITM2C;KSR1;KXD1;LASP1;LCK;LIMD2;LY9;MAP1LC3A;MFF;MORF4L1;MRFAP1L1;MYL6;NDUFA1;NDUFC2;NDUFS5;NPC2;NPM1;NTAN1;NUP210;OAS2;OAZ1;PDHB;PDLIM1;PHYH;PIM2;PPIA;PPP1CC;PRDX1;PRDX5;PSMA1;PSMB10;PSMB4;PSMD4;PSME1;RAN;RAPGEF6;RBBP7;REXO2;RNASET2;RPL10;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL17;RPL18;RPL18A;RPL19;RPL22;RPL22L1;RPL23;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL3;RPL30;RPL31;RPL34;RPL35;RPL36;RPL37;RPL37A;RPL38;RPL39;RPL4;RPL41;RPL5;RPL6;RPL7;RPL7A;RPL9;RPLP0;RPLP2;RPS10;RPS11;RPS14;RPS15A;RPS16;RPS18;RPS19;RPS2;RPS21;RPS23;RPS25;RPS26;RPS27;RPS29;RPS3;RPS3A;RPS4X;RPS5;RPS6;RPS7;RPS8;RPS9;RPSA;S100A6;SET;SNHG8;SNRPG;SOD1;SUB1;TBCA;TGIF2;TKT;TM9SF2;TM9SF3;TMA7;TNFAIP8L2;TPM3;TPT1;TRMT112;TUBA1B;UBE2D3;UBE2L3;UBXN8;UQCRB;VDAC3;YBX1;YWHAE;ZBP1;ZNF296	ACTB;AKR1A1;BACH2;CD68;CLU;EEF1B2;EEF1G;HSPE1;IRF4;ISG15;KSR1;NPC2;NTAN1;PIM2;RPL10;RPL13;RPL13A;RPL17;RPL23A;RPL27A;RPL3;RPL30;RPL34;RPL41;RPL5;RPL7;RPL9;RPLP2;RPS10;RPS14;RPS18;RPS2;RPS23;RPS25;RPS26;RPS27;RPS3;RPS3A;RPS6;TBCA;TNFAIP8L2;TUBA1B;UBXN8
Immune::ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_AD5_NAB_TITERS_GTE_200_VS_LTE_200_1DY_UP	119	31	7.288052805148491e-06	0.001260589600312971	119	31	term_score_27	ABCD2;ABLIM1;ACADSB;AGL;AHCTF1;AHNAK;APBA2;ARHGAP15;BCL2;BMI1;BNIP3;C12orf57;CAMK4;CCR7;CD27;CD3D;CD96;CDCA7L;CLEC2D;CRIPT;CRTAM;CSE1L;DENND4C;DLEU1;DLGAP1-AS1;DOCK9;DPH5;DPP4;EIF3E;EIF3L;ERGIC2;ETS1;FOXP1;FXR1;GCC2;GPR174;GTF2H3;GZMK;HLTF;HTATSF1;IGF1R;INPP4B;IP6K1;IPP;ITGA6;ITGB3BP;ITK;KLF12;KLHDC2;KLRB1;KLRD1;KLRK1;KPNA4;LDHB;LRIF1;LUC7L3;MAML2;MGAT4A;MPHOSPH9;MPRIP;MS4A1;N4BP2;NAA16;NAE1;NAP1L1;NDUFS5;NELL2;NPAT;NSA2;NUCB2;PDE3B;PNN;POLR1E;PPIL3;PRKACB;PSIP1;PTGDR;RASGRP1;RBL2;RCAN3;RNF125;RNF157;RORA;RPL15;RPL17;RPS13;SATB1;SESN1;SESN3;SFPQ;SH2D1A;SKAP1;SLC38A1;SLC4A7;TBC1D31;TC2N;THEMIS;TMEM204;TRABD2A;TRAV13-2;TRAV17;TRAV19;TRAV20;TRAV22;TRAV29DV5;TRAV3;TRAV8-2;TRBV19;TRBV27;TRBV4-2;TRGV3;TTC3;USP34;USP53;ZKSCAN8;ZNF143;ZNF506;ZNF770;ZNF84	ABLIM1;APBA2;BMI1;CCR7;CDCA7L;CRTAM;DLGAP1-AS1;ERGIC2;FOXP1;GTF2H3;IGF1R;KLRB1;KLRK1;MGAT4A;MS4A1;NAA16;NELL2;NPAT;PPIL3;RCAN3;RPL17;SATB1;SLC38A1;TC2N;TRABD2A;TRAV19;TRAV29DV5;TRAV8-2;TRBV4-2;TRGV3;TTC3
Immune::CAO_BLOOD_FLUMIST_AGE_05_14YO_CORRELATED_WITH_H3N2_VN_TITER_7DY_POSITIVE	9	7	7.405897777751404e-06	0.001260589600312971	9	7	term_score_28	GBP1;GBP5;IFIT1;IFIT3;IFITM3;OAS1;OAS2;OASL;RSAD2	GBP1;IFIT1;IFIT3;IFITM3;OAS1;OASL;RSAD2
Immune::GSE42088_UNINF_VS_LEISHMANIA_INF_DC_4H_DN	154	37	7.702684406838764e-06	0.0012806160656858214	154	37	term_score_29	ADD3;AKIRIN1;ARHGEF1;ARL4C;BAP1;BTF3;BTG1;BTG2;CAPN2;CCNG1;CCNL1;CD244;CD37;CD55;CD69;CD74;CHMP1B;CHST7;CIRBP;CLK3;CRBN;CXCR4;CYTIP;DDX3X;DNAJA2;DUSP1;EEF1D;EEF1G;EIF3E;EIF3F;EIF3H;EIF3L;EIF4B;ELF1;ELF4;ERP29;FAM53C;FAU;FOSB;GAB2;GABARAPL1;GBP2;HLA-DPB1;HLA-DQB1;HLA-DQB2;HLA-DRA;HLA-F;HMGB2;ICAM2;ICAM3;IFITM3;IFRD1;ILVBL;INPP5K;JUND;KLF10;KLF2;KLHDC4;MAP1LC3B;MAP2K3;MAP4K4;MTCH1;MTMR12;MTMR3;MXD3;MXI1;NACA;NLRP1;NR1H2;NR4A1;NR4A2;NTRK1;OASL;OSBPL7;OSM;OXA1L;PABPC4;PARP16;PCBP2;PMAIP1;PPCDC;PPP1R15A;PRKRIP1;PRNP;PTGER4;PTK2B;PTP4A1;PXN;RAP2B;RARA;RASGRP2;RBM38;RIN3;RNF2;RPL10;RPL11;RPL13;RPL13A;RPL18;RPL21;RPL22;RPL26;RPL27;RPL27A;RPL28;RPL30;RPL31;RPL32;RPL34;RPL35A;RPL37;RPL38;RPL39;RPL7;RPL8;RPLP1;RPLP2;RPS11;RPS13;RPS14;RPS15A;RPS16;RPS18;RPS19;RPS24;RPS29;RPS4X;RPS7;RPS8;RPS9;RSL24D1;S1PR4;SAP30BP;SCPEP1;SERP1;SF3A1;SIGIRR;SLC25A6;SNRK;SP100;SRSF3;SRSF5;STK10;STX11;TIPARP;TOE1;TOX4;TSC22D3;UBA52;USP19;USP7;YPEL5;ZNF394;ZXDC	ARHGEF1;BAP1;BTG1;BTG2;CD55;CD69;CXCR4;EEF1G;FOSB;HLA-DRA;HMGB2;IFITM3;IFRD1;ILVBL;JUND;NR4A2;OASL;PARP16;PMAIP1;PPCDC;PTP4A1;RASGRP2;RPL10;RPL13;RPL13A;RPL21;RPL27A;RPL30;RPL32;RPL34;RPL7;RPLP2;RPS14;RPS18;SCPEP1;USP7;YPEL5
GO_BP::GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION	279	57	8.027255021318817e-06	0.0013042465033501868	279	57	term_score_30	ABL1;ADAM17;ADAM8;AFAP1L2;AGER;AGPAT1;AGPAT2;AIF1;AIM2;AKIRIN2;ANXA1;APPL1;ARFGEF2;ARHGEF2;ARID5A;ARNT;ATF2;ATF4;ATP6AP2;B2M;BATF;BCL10;BCL3;BMPR1A;BRCA1;BTN3A1;BTN3A2;C3AR1;CADM1;CAMK4;CARD11;CARD8;CASP1;CASP8;CCDC88B;CCL3;CCR2;CCR7;CD160;CD2;CD200;CD226;CD244;CD274;CD28;CD3E;CD46;CD55;CD58;CD6;CD74;CD80;CD81;CD83;CD84;CD86;CEBPB;CEBPG;CHUK;CLNK;CLU;CRTAM;CYBA;DDIT3;DDT;DDX1;DDX21;DDX3X;DENND1B;DHX33;DHX36;DHX58;DHX9;EGR1;EIF2AK2;EIF2AK3;F2R;FADD;FCER1G;FCGR3A;FGR;FLOT1;FOXP1;FRMD8;G3BP1;GAPDH;GATA3;GBP5;GLMN;GPSM3;GSDMD;HAVCR2;HDAC2;HEG1;HIF1A;HK1;HLA-A;HLA-DPA1;HLA-DPB1;HLA-E;HLA-F;HLA-G;HMGB1;HMGB2;HMOX1;HPSE;HRAS;HSP90AA1;HSPA1A;HSPA1B;HSPB1;HSPD1;IFI16;IFIH1;IFNG;IFNGR1;IKBKE;IL10;IL12RB1;IL12RB2;IL15;IL16;IL17RA;IL18R1;IL1RAP;IL27RA;IL4R;IL6R;IL6ST;IRAK1;IRF1;IRF3;IRF4;IRF5;IRF7;IRF8;ISG15;ITK;JAK2;KAT2A;KCNQ1OT1;KIR2DL4;KLRC4-KLRK1;KLRK1;KPNA6;LAMTOR5;LAPTM5;LGALS9;LILRB1;LTA;LTB;LY9;MALT1;MAP3K7;MAPK13;MAPK14;MAPK9;MAPKAPK2;MAVS;MBP;MCOLN2;MIF;MYB;MYD88;NAIP;NLRP1;NLRP2;NLRP3;NMB;NOD1;NOD2;NR4A3;OAS1;OAS2;OAS3;OSM;P2RX7;PANX1;PARK7;PDE4B;PDE4D;PELI1;PIBF1;PIK3CD;PIK3CG;PIK3R1;PLCG2;PNP;POLR3A;POLR3B;POLR3C;POLR3D;POLR3F;POU2AF1;POU2F2;PQBP1;PRKCQ;PRKCZ;PRKD2;PSEN1;PTGER4;PTPN11;PTPN22;PTPRC;PTPRJ;PYCARD;RAB1A;RAB2B;RAD21;RARA;RASGRP1;RELA;RFTN1;RGCC;RIOK3;RIPK1;RIPK2;RNF135;ROCK2;RORA;RPS3;RSAD2;RUNX1;SASH3;SCRIB;SEMA7A;SETD2;SETD4;SIRT1;SLAMF1;SLAMF6;SLC7A5;SMAD3;SOD1;SORL1;SPHK2;SPN;SPON2;SPTBN1;STAT1;STAT3;STAT5B;STOML2;SULF2;TANK;TBK1;TBX21;TGFB1;THBS1;TICAM1;TIGIT;TIRAP;TMED10;TMEM106A;TMF1;TNF;TNFRSF14;TNFSF4;TRAF2;TRAF3;TRAF3IP3;TRAF6;TRIM27;TRIM32;TRIM56;TRIM65;TUSC2;TXK;TYK2;TYROBP;XBP1;XCL1;XIAP;ZBTB20;ZBTB7B;ZC3HAV1;ZCCHC3;ZNF580;ZP3	AGER;ANXA1;B2M;BCL3;C3AR1;CADM1;CASP1;CCL3;CCR2;CCR7;CD160;CD200;CD274;CD55;CD80;CD81;CD84;CD86;CLU;CRTAM;DHX58;EGR1;FCGR3A;FOXP1;HMGB2;HSPA1A;HSPA1B;HSPB1;IFNG;IL10;IL15;IL4R;IRF4;IRF8;ISG15;KCNQ1OT1;KIR2DL4;KLRK1;LTB;MYB;NR4A3;OAS1;P2RX7;PIK3R1;PTPRC;RGCC;RNF135;RPS3;RSAD2;SORL1;SPON2;TNF;TXK;TYK2;XCL1;ZBTB20;ZC3HAV1
Immune::GSE16450_IMMATURE_VS_MATURE_NEURON_CELL_LINE_UP	161	38	9.08912041000563e-06	0.0013825132300240477	161	38	term_score_31	ABLIM1;ACCS;ACSS1;ADD3;AGO4;AK1;AKAP13;ANKRD36B;APBA2;APOL3;AQP3;ARHGDIB;ARHGEF18;ARL4C;ARRDC2;ATF7IP2;ATG14;ATM;ATXN7;ATXN7L1;B3GALT4;BBIP1;BCL11B;BTN3A1;C16orf54;CAPRIN2;CCNG2;CD52;CHKB;CNOT6L;CREBRF;CRTC3;CSNK1G2;CXCR4;CYTH1;DDX6;DENND6A;DPEP2;ENTPD4;EPHA4;FBXL20;FBXO32;FGD3;FOXO3;GLIPR1;GOLGB1;GPR18;GPR68;GRAP;GSAP;GSN;GSTK1;GZMK;HBP1;HECTD4;HERC1;HERPUD2;HSBP1L1;IDS;IFFO1;IFNAR2;IL10RA;IL7R;IPCEF1;ITFG2;ITGA6;KANSL1;KLF2;KLF3;KLRB1;LAPTM5;LEPROTL1;LYRM9;MAL;MALAT1;MAP3K1;MBP;MED13L;MICAL1;MLXIP;MPPE1;NDRG1;NF1;NKTR;NLRC3;NLRC5;NLRP1;NR1D2;NUDT7;OCEL1;OFD1;P2RY8;PAN3;PBX4;PBXIP1;PCED1A;PDCD4;PDCD4-AS1;PDK3;PHF21A;PIAS1;PIK3IP1;PIK3R1;PIK3R5;PINK1;PNRC1;POGZ;POU6F1;PPP3CA;PRKCQ;PRRC2B;RABGAP1L;RASA3;RASGRP1;RNF103;RNF166;SAP30L;SCML1;SCML4;SENP7;SERINC5;SETD1B;SH3BP5-AS1;SLC35D2;SLC9A9;SNN;SORL1;SPDYE1;SPOCK2;SPSB3;SSH2;ST3GAL5;STK17B;SUN2;SYNE2;SYTL2;TC2N;TECPR1;TLE4;TNRC6B;TRIM73;TSC1;TSC22D1;TSC22D3;TXNDC16;USP3;UTRN;VAMP1;VNN2;VPS13C;WHAMM;YPEL2;YPEL5;ZBTB20;ZBTB40;ZCCHC14;ZFP36L2;ZFYVE1;ZNF394;ZNF862;ZSCAN2	ABLIM1;APBA2;ARHGEF18;ARRDC2;ATM;ATXN7;CHKB;CNOT6L;CXCR4;DPEP2;EPHA4;FBXO32;IL7R;KANSL1;KLRB1;MALAT1;MPPE1;NF1;NR1D2;NUDT7;OCEL1;PDCD4;PIK3IP1;PIK3R1;POU6F1;SCML1;SERINC5;SLC9A9;SORL1;SSH2;STK17B;TC2N;TECPR1;TNRC6B;YPEL2;YPEL5;ZBTB20;ZFP36L2
