,sciRED_0,sciRED_1,sciRED_2,sciRED_3,sciRED_4,sciRED_5,sciRED_6,sciRED_7,sciRED_8,sciRED_9,sciRED_10,sciRED_11,sciRED_12,sciRED_13,sciRED_14,sciRED_15,sciRED_16,sciRED_17,sciRED_18,sciRED_19,sciRED_20,sciRED_21,sciRED_22,sciRED_23,sciRED_24,sciRED_25,sciRED_26,sciRED_27,sciRED_28,sciRED_29,sciRED_30,sciRED_31,sciRED_32,sciRED_33,sciRED_34,sciRED_35,sciRED_36,sciRED_37,sciRED_38,sciRED_39
CST3,-0.0030779378316082916,0.026516791158055966,-0.005997050253495625,0.011539973938256943,-0.011371731830779767,0.036694373897652406,-0.02386973201078204,0.009067896325568255,0.004613830104014768,0.11874369744150434,0.03406894588001308,1.2617245478021875e-05,-0.01038605107381659,0.03728678373739429,-0.043647868603711046,-0.0263838418827447,0.015229309383825758,0.02659743136678663,-0.009613206782555539,0.009287266796714782,-0.017209219462675847,0.02971457462573088,-0.018563325728105907,0.08740483556697695,0.01742009700865889,0.014421476112037875,0.0061135576098196335,-0.0100482225099856,-0.012755965272062169,0.013509541246719574,-0.003647648998710034,-0.01925144182570448,0.02301514893764522,0.0020750997622815096,0.01694057841902649,0.01978603945674389,0.009536099052747665,0.006140541908212309,-0.0059713506775102496,0.014028836098429608
PPP1R16B,-0.0027927719113561324,-0.0015636319840534412,-0.0028671000365545042,-0.00046553339210456563,0.0344260955461977,0.007932547965913155,-0.007317570802801906,-0.011502277765520725,-0.01764647976088373,0.0026842457678888753,-0.010430614588198404,0.006579607468597631,-0.008695249667847873,-0.00021742302166004163,-0.012964269281852207,0.01011665441506763,0.0041998724553777384,-0.0045651632437848765,0.017163341947203883,-0.01281881404522365,0.009832369790284753,0.0006592535240251835,0.0010415647214464963,0.009485579426778384,0.005039540328768097,-0.0037843827356443434,0.019045425925481398,-0.032501431110727765,-0.01947443323625988,-0.005444030501985202,-0.00874567165654048,-0.006984530416007444,0.007089583426713129,-0.006857853870732002,0.03071491154773746,-0.005640026276127099,-0.04613060380331247,-0.01352222306730468,0.01956825694561666,0.012323537157163729
CELF4,-0.006557583139454416,-0.00036309580776110027,-0.004587184481814963,-0.006759416264766768,0.05991848246429885,0.010782253116324051,-0.014926265827535284,-0.004015833310890456,-0.010974621068651541,-0.007381056376524483,-0.005942872145686353,0.00167582267186557,0.0065464093596959705,0.0060270676676745525,-0.009435568507002775,-0.013487836832934197,0.017888239327214648,-0.003043432714081203,-0.0018438424738418749,-0.017606434207673088,0.012398752022401295,-0.011135249253285667,0.013356734798695062,-0.0070159102808924675,-0.008886195918281823,0.0018449581276197286,-0.0016028447308879085,-0.0005104742043586521,-0.012564666903542899,-0.011372487312981227,-0.0009033794651976382,0.012275641155188269,0.027923414082511592,-0.03706944023433152,0.0020980376710808264,0.000786123042776672,-0.01617915190094557,-0.004803528668440108,0.015604243210460007,-0.007712654430579972
CDH20,0.004019882879121467,-0.006071028676132708,-0.05861395757369585,0.0448427074608979,-0.02774900838428086,-0.011837322311756535,0.02140663040646807,0.013720143939005782,-0.059636248031372525,-0.03937769252204863,-0.0050646582167259415,-0.01362188687833179,0.03205774771476076,-0.034387740199245,0.006577907544155518,0.02921279205267663,0.035486815789835834,-0.006278173895795914,-0.0271538338621037,-0.04564976467763609,-0.006163662966836752,0.01450776147854698,0.007026790205730056,-0.0028614533677289956,0.01696326179509267,-0.03640723906924994,-0.015729317144068455,-0.0344970074293721,-0.027880712201335107,0.001956821880463616,-0.039479316163446264,0.020404433525119565,-0.01945632752455245,0.028453954587837487,0.030221567973722323,-0.01759843808822711,-0.010412739882208435,0.003940812506570434,-0.028145742554464073,0.0038684375436946095
MYOM1,-0.005153028751304216,-0.009078197009092934,0.0006010900200038323,0.07847682196539109,-0.007965022964431648,-0.0009604329767042059,0.013016182361839528,-0.013426416325229756,0.02234433293691104,-0.014714619485670542,-0.03252600806997715,0.005393748963929216,-0.016288167322890863,0.0005436472086341038,0.0051168459292314445,-0.009865338290866414,-0.008677793946607776,0.0005409701851093998,-0.024066526360903274,-0.020484954392608636,-4.714526933396353e-05,-0.006934140046188364,-0.009670412226146986,-0.002223035384912361,0.030007146191899495,0.02993933359017725,-0.027846651701757295,0.05302938847513252,0.03223509982115688,-0.019892086889229325,-0.006174889327409098,-0.04433037789614484,-0.014020922540429082,0.020422561482801485,-0.0321929785863672,-0.004912438961445263,-0.005671827212440177,-0.017901644614197614,-0.03735573259160007,0.005531923365847941
NOL4,-0.02504262013011313,-0.010832560226207492,-0.014290236628499917,0.007190331033248252,-0.008018007999028954,-0.017509657756351764,0.00020448837837728733,-0.015272231364146701,-0.013308228598388375,-0.02636800714073114,0.06511932940431275,-0.0037385475131306955,-0.010055555241392674,0.01697360787019002,0.004198562080261101,-0.007884268267997097,0.030422602654321382,0.0024050415859689367,0.01204419448312908,-0.009450345493515566,-0.024386054923561534,-0.00835608879099345,-0.036755705761737305,0.0028093410925587223,-0.004062523366821918,-0.007557666886718049,0.007061505298194257,0.010386172446352102,0.009215679855110927,-0.028613955866417226,0.017563677726584723,-0.0008075204584613125,0.006807975064450823,0.025230474978461367,0.014565360308842756,-0.002713288758261826,2.816675750731709e-06,-0.007123191610000864,0.01573199754900772,-0.03615729580967135
PHEX,0.009358994954471173,0.011540859622704878,7.948667449091336e-06,0.021979437971923543,-0.009403508809638347,0.003837194372743624,0.0026812306868140563,-0.011856673204736582,-0.0034715122769803973,-0.015951022779742117,0.008787202833213058,0.01809605134881855,-0.010759452391945127,-0.006228591188609392,-0.007398305162871517,-0.0001336241898451063,-0.00135836490935362,-0.011671448091212617,0.02208577808487691,-0.0010632060606907566,-0.01789199230019368,-0.0074295170686091965,0.02579733387016996,-0.0006769352730336056,0.0430297538428397,0.0005207004624518514,-0.0023228122514184417,0.001495608701764934,0.017673671766356404,-0.015303108208266226,0.014528654192869157,-0.014133337542435544,0.008838244143677721,0.02093144851910878,-0.01352644150314248,0.02374664855957309,0.03569963067014106,0.0005326953399664327,0.00897674136893895,0.02207614975860537
RGCC,0.005568750604115213,0.008547795556393586,-0.023830369965026132,0.0520880175027243,-0.01657352943502794,-0.01332300737017515,-0.009109583964558833,-0.006559584252685359,0.0021866326012320012,0.07804817778174007,0.02111366201228908,-0.005478952173907787,0.0004917006971747756,0.00023900578913521736,0.01773594603549792,0.006867170533316344,0.014346940118919543,-0.011928721552988427,0.008129546380783404,-0.0129871627243999,-0.03611837034647668,0.006324215223826252,-0.005595870553711242,0.004679824216329392,0.009470602496441024,0.018088775487744,-0.007657156087295068,0.0006458703272363561,0.0055453933060146746,0.05672563506127534,-0.0315099883045774,0.015323124432579693,0.011737468698161268,-0.03446055471169781,-0.006473121667510417,0.014186496316041066,-0.0168165521694538,-0.0002884669320471111,0.0066191499592634226,0.026690367001685162
MAPK3,-0.00615857598842272,-0.006468918512310321,0.00605579712832009,0.01589758320285597,0.0038993821490502616,0.0022123792811065486,-0.004845545185464251,-0.012438185802257118,0.005524029066151729,0.029423051613413114,-0.013705780220218568,0.007672024930786174,0.002573403270172108,0.0027234053177595447,-0.022564684466970856,0.004721023575146562,0.0027680504325262416,-0.0002843105055718839,0.020389306039000108,-0.0005517126177868713,0.01180706455304648,0.002116075265715281,0.008255866607970704,0.003998835485275008,-0.006374140207388037,0.005629040493611043,-0.011512714864275252,-0.013454576183720864,0.016738339366448113,0.01803464537588517,0.00920790310179558,-0.01140917022661804,-0.028088533855238948,-0.04270790756478622,-0.0054130133854446375,0.013455375989012764,0.014636860676191575,-0.0067033173161610525,0.01250265851446552,-0.017472584841369803
ZNF821,0.0032627988086866857,0.004564116244356716,0.006144215836763068,0.027307451974446752,-0.005762578520802643,-0.007051707385531188,0.0003266089674787016,-0.006884003843926155,0.014485642368164185,0.012647572952086027,-0.013275953600011013,0.0024184753492025356,0.018661718471383655,0.0003345590223246593,-0.01007716798869303,0.0110600348480473,-0.004397712583844209,0.010340688819265574,0.014159589398613602,0.021007222320442432,0.00920314990029709,-0.007806801681816085,-0.001742852145520959,-0.017935958102272068,-0.016269766351958898,0.0026950223568272453,-0.01542433320581587,-0.007794137013835487,0.04046170260691067,0.01127691435432315,-0.002176897812506258,-0.008553163289294449,-0.008209614291730519,0.018212228052619028,0.001467534502298187,-0.0036769670837953445,-0.005515731790561472,8.32470511674152e-05,0.04134577486155629,-0.020874460767250715
